,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV)
NN,,0.32008,0.002224000000000001,0.084,0.062143999999999984,0.08364800000000003,0.08364800000000003,0.08364800000000003,0.08364800000000003,0.084,0.08364800000000003,0.084,0.3197919999999999
Random Choice,0.32008,0.0,0.319968,0.319968,0.320048,0.32024,0.32024,0.32024,0.32024,0.319968,0.32024,0.319968,0.319488
Borda ranking,0.002224000000000001,0.319968,0.0,0.085936,0.064272,0.085584,0.085584,0.085584,0.085584,0.085936,0.085584,0.085936,0.320336
Plurality ranking,0.084,0.319968,0.085936,0.0,0.066544,0.023968,0.023968,0.023968,0.023968,0.0,0.023968,0.0,0.3244
STV,0.062143999999999984,0.320048,0.064272,0.066544,0.0,0.064208,0.064208,0.064208,0.064208,0.066544,0.064208,0.066544,0.315936
Approval Voting (AV),0.08364800000000003,0.32024,0.085584,0.023968,0.064208,0.0,0.0,0.0,0.0,0.023968,0.0,0.023968,0.31448
Proportional Approval Voting (PAV),0.08364800000000003,0.32024,0.085584,0.023968,0.064208,0.0,0.0,0.0,0.0,0.023968,0.0,0.023968,0.31448
Approval Chamberlin-Courant (CC),0.08364800000000003,0.32024,0.085584,0.023968,0.064208,0.0,0.0,0.0,0.0,0.023968,0.0,0.023968,0.31448
Lexicographic Chamberlin-Courant (lex-CC),0.08364800000000003,0.32024,0.085584,0.023968,0.064208,0.0,0.0,0.0,0.0,0.023968,0.0,0.023968,0.31448
Sequential Approval Chamberlin-Courant (seq-CC),0.084,0.319968,0.085936,0.0,0.066544,0.023968,0.023968,0.023968,0.023968,0.0,0.023968,0.0,0.3244
Monroe's Approval Rule (Monroe),0.08364800000000003,0.32024,0.085584,0.023968,0.064208,0.0,0.0,0.0,0.0,0.023968,0.0,0.023968,0.31448
Greedy Monroe,0.084,0.319968,0.085936,0.0,0.066544,0.023968,0.023968,0.023968,0.023968,0.0,0.023968,0.0,0.3244
Minimax Approval Voting (MAV),0.3197919999999999,0.319488,0.320336,0.3244,0.315936,0.31448,0.31448,0.31448,0.31448,0.3244,0.31448,0.3244,0.0
