,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV)
NN,,0.4802,0.0823104,0.26132800000000006,0.1723424,0.11871839999999999,0.1694608,0.3256311999999999,0.2653504,0.3118456,0.22362320000000008,0.212332,0.345188
Random Choice,0.4802,0.0,0.480096,0.478256,0.479296,0.480496,0.480576,0.478512,0.47872,0.48088,0.47984,0.478928,0.479168
Borda ranking,0.0823104,0.480096,0.0,0.250848,0.158208,0.12296,0.14536,0.303072,0.238464,0.281744,0.201104,0.181792,0.372896
Plurality ranking,0.26132800000000006,0.478256,0.250848,0.0,0.15616,0.247136,0.28064,0.396624,0.344784,0.361984,0.308032,0.304528,0.424288
STV,0.1723424,0.479296,0.158208,0.15616,0.0,0.166352,0.18392,0.32712,0.266272,0.319312,0.21888,0.219136,0.372592
Approval Voting (AV),0.11871839999999999,0.480496,0.12296,0.247136,0.166352,0.0,0.107456,0.282912,0.217504,0.266752,0.173824,0.162992,0.349248
Proportional Approval Voting (PAV),0.1694608,0.480576,0.14536,0.28064,0.18392,0.107456,0.0,0.193184,0.122848,0.194848,0.097008,0.08888,0.325968
Approval Chamberlin-Courant (CC),0.3256311999999999,0.478512,0.303072,0.396624,0.32712,0.282912,0.193184,0.0,0.076304,0.23824,0.151872,0.19184,0.312208
Lexicographic Chamberlin-Courant (lex-CC),0.2653504,0.47872,0.238464,0.344784,0.266272,0.217504,0.122848,0.076304,0.0,0.166944,0.100672,0.12216,0.286048
Sequential Approval Chamberlin-Courant (seq-CC),0.3118456,0.48088,0.281744,0.361984,0.319312,0.266752,0.194848,0.23824,0.166944,0.0,0.239824,0.125056,0.4
Monroe's Approval Rule (Monroe),0.22362320000000008,0.47984,0.201104,0.308032,0.21888,0.173824,0.097008,0.151872,0.100672,0.239824,0.0,0.134528,0.302064
Greedy Monroe,0.212332,0.478928,0.181792,0.304528,0.219136,0.162992,0.08888,0.19184,0.12216,0.125056,0.134528,0.0,0.34144
Minimax Approval Voting (MAV),0.345188,0.479168,0.372896,0.424288,0.372592,0.349248,0.325968,0.312208,0.286048,0.4,0.302064,0.34144,0.0
