,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV)
NN,,0.48119360000000005,0.07987760000000002,0.3081808,0.25134239999999997,0.08223839999999998,0.1259288,0.46197039999999995,0.27564479999999997,0.41931680000000005,0.3654776,0.20754879999999998,0.3303392
Random Choice,0.48119360000000005,0.0,0.480272,0.481328,0.48,0.479408,0.479888,0.478432,0.478672,0.482256,0.47712,0.480224,0.479216
Borda ranking,0.07987760000000002,0.480272,0.0,0.29024,0.251696,0.101552,0.100304,0.481504,0.24664,0.398016,0.386864,0.183328,0.319968
Plurality ranking,0.3081808,0.481328,0.29024,0.0,0.314192,0.322288,0.32888,0.496512,0.389392,0.440096,0.428976,0.359472,0.424704
STV,0.25134239999999997,0.48,0.251696,0.314192,0.0,0.25056,0.269568,0.478912,0.354016,0.417792,0.392992,0.310496,0.386752
Approval Voting (AV),0.08223839999999998,0.479408,0.101552,0.322288,0.25056,0.0,0.091648,0.468816,0.269328,0.411984,0.369072,0.191088,0.334912
Proportional Approval Voting (PAV),0.1259288,0.479888,0.100304,0.32888,0.269568,0.091648,0.0,0.47448,0.193168,0.403056,0.381952,0.153296,0.289136
Approval Chamberlin-Courant (CC),0.46197039999999995,0.478432,0.481504,0.496512,0.478912,0.468816,0.47448,0.0,0.472208,0.786384,0.137456,0.5024,0.322064
Lexicographic Chamberlin-Courant (lex-CC),0.27564479999999997,0.478672,0.24664,0.389392,0.354016,0.269328,0.193168,0.472208,0.0,0.399664,0.411008,0.209392,0.161008
Sequential Approval Chamberlin-Courant (seq-CC),0.41931680000000005,0.482256,0.398016,0.440096,0.417792,0.411984,0.403056,0.786384,0.399664,0.0,0.68728,0.374272,0.522208
Monroe's Approval Rule (Monroe),0.3654776,0.47712,0.386864,0.428976,0.392992,0.369072,0.381952,0.137456,0.411008,0.68728,0.0,0.421376,0.305696
Greedy Monroe,0.20754879999999998,0.480224,0.183328,0.359472,0.310496,0.191088,0.153296,0.5024,0.209392,0.374272,0.421376,0.0,0.303952
Minimax Approval Voting (MAV),0.3303392,0.479216,0.319968,0.424704,0.386752,0.334912,0.289136,0.322064,0.161008,0.522208,0.305696,0.303952,0.0
