,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV)
NN,,0.2763926666666667,0.1046826666666667,0.18504133333333336,0.09831933333333337,0.17768133333333336,0.17768133333333336,0.17768133333333336,0.17768133333333336,0.18504133333333336,0.17768133333333336,0.18504133333333336,0.2271613333333333
Random Choice,0.2763926666666667,0.0,0.27688,0.27829333333333334,0.27774666666666664,0.27813333333333334,0.27813333333333334,0.27813333333333334,0.27813333333333334,0.27829333333333334,0.27813333333333334,0.27829333333333334,0.27692
Borda ranking,0.1046826666666667,0.27688,0.0,0.16912,0.12058666666666666,0.17076,0.17076,0.17076,0.17076,0.16912,0.17076,0.16912,0.28052
Plurality ranking,0.18504133333333336,0.27829333333333334,0.16912,0.0,0.16092,0.05996,0.05996,0.05996,0.05996,0.0,0.05996,0.0,0.28756
STV,0.09831933333333337,0.27774666666666664,0.12058666666666666,0.16092,0.0,0.15433333333333332,0.15433333333333332,0.15433333333333332,0.15433333333333332,0.16092,0.15433333333333332,0.16092,0.26476
Approval Voting (AV),0.17768133333333336,0.27813333333333334,0.17076,0.05996,0.15433333333333332,0.0,0.0,0.0,0.0,0.05996,0.0,0.05996,0.266
Proportional Approval Voting (PAV),0.17768133333333336,0.27813333333333334,0.17076,0.05996,0.15433333333333332,0.0,0.0,0.0,0.0,0.05996,0.0,0.05996,0.266
Approval Chamberlin-Courant (CC),0.17768133333333336,0.27813333333333334,0.17076,0.05996,0.15433333333333332,0.0,0.0,0.0,0.0,0.05996,0.0,0.05996,0.266
Lexicographic Chamberlin-Courant (lex-CC),0.17768133333333336,0.27813333333333334,0.17076,0.05996,0.15433333333333332,0.0,0.0,0.0,0.0,0.05996,0.0,0.05996,0.266
Sequential Approval Chamberlin-Courant (seq-CC),0.18504133333333336,0.27829333333333334,0.16912,0.0,0.16092,0.05996,0.05996,0.05996,0.05996,0.0,0.05996,0.0,0.28756
Monroe's Approval Rule (Monroe),0.17768133333333336,0.27813333333333334,0.17076,0.05996,0.15433333333333332,0.0,0.0,0.0,0.0,0.05996,0.0,0.05996,0.266
Greedy Monroe,0.18504133333333336,0.27829333333333334,0.16912,0.0,0.16092,0.05996,0.05996,0.05996,0.05996,0.0,0.05996,0.0,0.28756
Minimax Approval Voting (MAV),0.2271613333333333,0.27692,0.28052,0.28756,0.26476,0.266,0.266,0.266,0.266,0.28756,0.266,0.28756,0.0
