,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV)
NN,,0.4995733333333332,0.0,0.39705333333333337,0.0,0.0,0.0,0.48452000000000023,0.0,0.48200000000000015,0.0,0.0,0.0
Random Choice,0.4995733333333332,0.0,0.4995733333333333,0.49896,0.4995733333333333,0.4995733333333333,0.4995733333333333,0.5013866666666666,0.4995733333333333,0.4982666666666667,0.4995733333333333,0.4995733333333333,0.4995733333333333
Borda ranking,0.0,0.4995733333333333,0.0,0.3970533333333333,0.0,0.0,0.0,0.48452,0.0,0.482,0.0,0.0,0.0
Plurality ranking,0.39705333333333337,0.49896,0.3970533333333333,0.0,0.3970533333333333,0.3970533333333333,0.3970533333333333,0.8146266666666667,0.3970533333333333,0.16276,0.3970533333333333,0.3970533333333333,0.3970533333333333
STV,0.0,0.4995733333333333,0.0,0.3970533333333333,0.0,0.0,0.0,0.48452,0.0,0.482,0.0,0.0,0.0
Approval Voting (AV),0.0,0.4995733333333333,0.0,0.3970533333333333,0.0,0.0,0.0,0.48452,0.0,0.482,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0,0.4995733333333333,0.0,0.3970533333333333,0.0,0.0,0.0,0.48452,0.0,0.482,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.48452000000000023,0.5013866666666666,0.48452,0.8146266666666667,0.48452,0.48452,0.48452,0.0,0.48452,0.96652,0.48452,0.48452,0.48452
Lexicographic Chamberlin-Courant (lex-CC),0.0,0.4995733333333333,0.0,0.3970533333333333,0.0,0.0,0.0,0.48452,0.0,0.482,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.48200000000000015,0.4982666666666667,0.482,0.16276,0.482,0.482,0.482,0.96652,0.482,0.0,0.482,0.482,0.482
Monroe's Approval Rule (Monroe),0.0,0.4995733333333333,0.0,0.3970533333333333,0.0,0.0,0.0,0.48452,0.0,0.482,0.0,0.0,0.0
Greedy Monroe,0.0,0.4995733333333333,0.0,0.3970533333333333,0.0,0.0,0.0,0.48452,0.0,0.482,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.0,0.4995733333333333,0.0,0.3970533333333333,0.0,0.0,0.0,0.48452,0.0,0.482,0.0,0.0,0.0
