,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV)
NN,,0.4453466666666668,0.19931933333333332,0.33357,0.37026999999999993,0.2495166666666666,0.25969533333333333,0.29324599999999995,0.286968,0.49069266666666667,0.29324599999999995,0.35348066666666667,0.29324599999999995
Random Choice,0.4453466666666668,0.0,0.44454666666666665,0.4451333333333333,0.4441466666666667,0.4440266666666667,0.4442,0.44452,0.44493333333333335,0.44324,0.44452,0.44421333333333335,0.44452
Borda ranking,0.19931933333333332,0.44454666666666665,0.0,0.26716,0.3426533333333333,0.1878,0.18886666666666665,0.4505866666666667,0.22346666666666667,0.38666666666666666,0.4505866666666667,0.2972533333333333,0.4505866666666667
Plurality ranking,0.33357,0.4451333333333333,0.26716,0.0,0.33788,0.36772,0.36636,0.47330666666666665,0.37212,0.39813333333333334,0.47330666666666665,0.38893333333333335,0.47330666666666665
STV,0.37026999999999993,0.4441466666666667,0.3426533333333333,0.33788,0.0,0.3784133333333333,0.37836,0.4432933333333333,0.3848933333333333,0.42802666666666667,0.4432933333333333,0.41656,0.4432933333333333
Approval Voting (AV),0.2495166666666666,0.4440266666666667,0.1878,0.36772,0.3784133333333333,0.0,0.04677333333333333,0.42373333333333335,0.14210666666666666,0.40873333333333334,0.42373333333333335,0.2679066666666667,0.42373333333333335
Proportional Approval Voting (PAV),0.25969533333333333,0.4442,0.18886666666666665,0.36636,0.37836,0.04677333333333333,0.0,0.43989333333333336,0.10126666666666667,0.39072,0.43989333333333336,0.26538666666666666,0.43989333333333336
Approval Chamberlin-Courant (CC),0.29324599999999995,0.44452,0.4505866666666667,0.47330666666666665,0.4432933333333333,0.42373333333333335,0.43989333333333336,0.0,0.44236,0.6666666666666666,0.0,0.48442666666666667,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.286968,0.44493333333333335,0.22346666666666667,0.37212,0.3848933333333333,0.14210666666666666,0.10126666666666667,0.44236,0.0,0.38410666666666665,0.44236,0.2819333333333333,0.44236
Sequential Approval Chamberlin-Courant (seq-CC),0.49069266666666667,0.44324,0.38666666666666666,0.39813333333333334,0.42802666666666667,0.40873333333333334,0.39072,0.6666666666666666,0.38410666666666665,0.0,0.6666666666666666,0.3562266666666667,0.6666666666666666
Monroe's Approval Rule (Monroe),0.29324599999999995,0.44452,0.4505866666666667,0.47330666666666665,0.4432933333333333,0.42373333333333335,0.43989333333333336,0.0,0.44236,0.6666666666666666,0.0,0.48442666666666667,0.0
Greedy Monroe,0.35348066666666667,0.44421333333333335,0.2972533333333333,0.38893333333333335,0.41656,0.2679066666666667,0.26538666666666666,0.48442666666666667,0.2819333333333333,0.3562266666666667,0.48442666666666667,0.0,0.48442666666666667
Minimax Approval Voting (MAV),0.29324599999999995,0.44452,0.4505866666666667,0.47330666666666665,0.4432933333333333,0.42373333333333335,0.43989333333333336,0.0,0.44236,0.6666666666666666,0.0,0.48442666666666667,0.0
