,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV)
NN,,0.4096582857142858,0.13866571428571428,0.2679314285714286,0.14270342857142854,0.12120285714285714,0.15155199999999996,0.2820245714285714,0.24992399999999998,0.28438457142857143,0.1786925714285714,0.18593028571428571,0.2642245714285715
Random Choice,0.4096582857142858,0.0,0.4096228571428571,0.4087314285714286,0.40938285714285716,0.40922285714285717,0.40953142857142855,0.4087085714285714,0.4097942857142857,0.40965714285714283,0.40858285714285714,0.40874285714285713,0.40986285714285714
Borda ranking,0.13866571428571428,0.4096228571428571,0.0,0.22918857142857144,0.13504,0.12012571428571428,0.1336342857142857,0.25418285714285715,0.2193257142857143,0.24530285714285716,0.15998857142857142,0.15649142857142856,0.34541714285714287
Plurality ranking,0.2679314285714286,0.4087314285714286,0.22918857142857144,0.0,0.21427428571428572,0.23957714285714285,0.24309714285714284,0.2853942857142857,0.2648,0.26992,0.24902857142857143,0.24981714285714285,0.36509714285714284
STV,0.14270342857142854,0.40938285714285716,0.13504,0.21427428571428572,0.0,0.09466285714285715,0.13044571428571428,0.2666057142857143,0.2328,0.26102857142857144,0.16092571428571428,0.16236571428571428,0.34341714285714287
Approval Voting (AV),0.12120285714285714,0.40922285714285717,0.12012571428571428,0.23957714285714285,0.09466285714285715,0.0,0.07219428571428571,0.2302742857142857,0.19105142857142857,0.22448,0.11704,0.12025142857142856,0.33786285714285713
Proportional Approval Voting (PAV),0.15155199999999996,0.40953142857142855,0.1336342857142857,0.24309714285714284,0.13044571428571428,0.07219428571428571,0.0,0.16944,0.12512,0.18163428571428572,0.06169142857142857,0.07581714285714286,0.32621714285714287
Approval Chamberlin-Courant (CC),0.2820245714285714,0.4087085714285714,0.25418285714285715,0.2853942857142857,0.2666057142857143,0.2302742857142857,0.16944,0.0,0.05688,0.18449142857142858,0.14419428571428572,0.1752,0.2559657142857143
Lexicographic Chamberlin-Courant (lex-CC),0.24992399999999998,0.4097942857142857,0.2193257142857143,0.2648,0.2328,0.19105142857142857,0.12512,0.05688,0.0,0.13861714285714286,0.11454857142857143,0.12992,0.2814857142857143
Sequential Approval Chamberlin-Courant (seq-CC),0.28438457142857143,0.40965714285714283,0.24530285714285716,0.26992,0.26102857142857144,0.22448,0.18163428571428572,0.18449142857142858,0.13861714285714286,0.0,0.19592,0.11421714285714285,0.3717371428571429
Monroe's Approval Rule (Monroe),0.1786925714285714,0.40858285714285714,0.15998857142857142,0.24902857142857143,0.16092571428571428,0.11704,0.06169142857142857,0.14419428571428572,0.11454857142857143,0.19592,0.0,0.09115428571428572,0.31688
Greedy Monroe,0.18593028571428571,0.40874285714285713,0.15649142857142856,0.24981714285714285,0.16236571428571428,0.12025142857142856,0.07581714285714286,0.1752,0.12992,0.11421714285714285,0.09115428571428572,0.0,0.34691428571428573
Minimax Approval Voting (MAV),0.2642245714285715,0.40986285714285714,0.34541714285714287,0.36509714285714284,0.34341714285714287,0.33786285714285713,0.32621714285714287,0.2559657142857143,0.2814857142857143,0.3717371428571429,0.31688,0.34691428571428573,0.0
