,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV)
NN,,0.407697142857143,0.06420857142857143,0.27186000000000005,0.20103885714285713,0.14429028571428573,0.18465085714285712,0.25779028571428575,0.2502142857142857,0.2481091428571429,0.24112571428571433,0.23557314285714284,0.39711714285714284
Random Choice,0.407697142857143,0.0,0.40790857142857145,0.4091542857142857,0.40744,0.4083771428571429,0.4091314285714286,0.40872,0.40849142857142856,0.40874285714285713,0.4091885714285714,0.40921142857142856,0.40740571428571426
Borda ranking,0.06420857142857143,0.40790857142857145,0.0,0.28977142857142857,0.21483428571428573,0.16776,0.1843657142857143,0.2484,0.24002285714285715,0.23654857142857144,0.23273142857142856,0.22537142857142858,0.4094514285714286
Plurality ranking,0.27186000000000005,0.4091542857142857,0.28977142857142857,0.0,0.18477714285714286,0.22142857142857142,0.2576,0.30290285714285714,0.2981942857142857,0.30061714285714286,0.2871885714285714,0.29056,0.4196
STV,0.20103885714285713,0.40744,0.21483428571428573,0.18477714285714286,0.0,0.17142857142857143,0.21424,0.2747428571428571,0.26981714285714287,0.2721828571428571,0.2600914285714286,0.2605257142857143,0.40408
Approval Voting (AV),0.14429028571428573,0.4083771428571429,0.16776,0.22142857142857142,0.17142857142857143,0.0,0.12113142857142857,0.20801142857142857,0.20048,0.2017942857142857,0.19164571428571428,0.18878857142857142,0.4006742857142857
Proportional Approval Voting (PAV),0.18465085714285712,0.4091314285714286,0.1843657142857143,0.2576,0.21424,0.12113142857142857,0.0,0.10330285714285714,0.09056,0.12121142857142857,0.08649142857142857,0.10688,0.40104
Approval Chamberlin-Courant (CC),0.25779028571428575,0.40872,0.2484,0.30290285714285714,0.2747428571428571,0.20801142857142857,0.10330285714285714,0.0,0.01704,0.09337142857142858,0.04229714285714286,0.09826285714285714,0.39643428571428574
Lexicographic Chamberlin-Courant (lex-CC),0.2502142857142857,0.40849142857142856,0.24002285714285715,0.2981942857142857,0.26981714285714287,0.20048,0.09056,0.01704,0.0,0.07891428571428571,0.04950857142857143,0.08458285714285714,0.40389714285714284
Sequential Approval Chamberlin-Courant (seq-CC),0.2481091428571429,0.40874285714285713,0.23654857142857144,0.30061714285714286,0.2721828571428571,0.2017942857142857,0.12121142857142857,0.09337142857142858,0.07891428571428571,0.0,0.12238857142857143,0.019302857142857142,0.4206857142857143
Monroe's Approval Rule (Monroe),0.24112571428571433,0.4091885714285714,0.23273142857142856,0.2871885714285714,0.2600914285714286,0.19164571428571428,0.08649142857142857,0.04229714285714286,0.04950857142857143,0.12238857142857143,0.0,0.10909714285714285,0.3967657142857143
Greedy Monroe,0.23557314285714284,0.40921142857142856,0.22537142857142858,0.29056,0.2605257142857143,0.18878857142857142,0.10688,0.09826285714285714,0.08458285714285714,0.019302857142857142,0.10909714285714285,0.0,0.42091428571428574
Minimax Approval Voting (MAV),0.39711714285714284,0.40740571428571426,0.4094514285714286,0.4196,0.40408,0.4006742857142857,0.40104,0.39643428571428574,0.40389714285714284,0.4206857142857143,0.3967657142857143,0.42091428571428574,0.0
