,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV)
NN,,0.48970800000000003,0.045714857142857133,0.4481337142857143,0.31311257142857146,0.1867342857142857,0.25237771428571426,0.44115885714285724,0.2842485714285714,0.38899314285714276,0.3369337142857142,0.26700514285714283,0.44115885714285724
Random Choice,0.48970800000000003,0.0,0.4894171428571429,0.4901714285714286,0.4906857142857143,0.4894742857142857,0.48949714285714285,0.4900685714285714,0.4896342857142857,0.4911885714285714,0.4901257142857143,0.4894742857142857,0.4900685714285714
Borda ranking,0.045714857142857133,0.4894171428571429,0.0,0.4564114285714286,0.31701714285714283,0.19526857142857143,0.25144,0.4458628571428571,0.28425142857142854,0.36958857142857143,0.34062857142857145,0.2673257142857143,0.4458628571428571
Plurality ranking,0.4481337142857143,0.4901714285714286,0.4564114285714286,0.0,0.31928,0.42488,0.44073142857142855,0.5214857142857143,0.4508114285714286,0.4668685714285714,0.47917714285714286,0.4458857142857143,0.5214857142857143
STV,0.31311257142857146,0.4906857142857143,0.31701714285714283,0.31928,0.0,0.3469942857142857,0.3780685714285714,0.4513371428571429,0.3933714285714286,0.45371428571428574,0.38427428571428573,0.38627428571428574,0.4513371428571429
Approval Voting (AV),0.1867342857142857,0.4894742857142857,0.19526857142857143,0.42488,0.3469942857142857,0.0,0.07133714285714286,0.44804571428571427,0.1032,0.3706857142857143,0.38977142857142855,0.10641142857142857,0.44804571428571427
Proportional Approval Voting (PAV),0.25237771428571426,0.48949714285714285,0.25144,0.44073142857142855,0.3780685714285714,0.07133714285714286,0.0,0.45534857142857144,0.032857142857142856,0.3572342857142857,0.4052342857142857,0.05158857142857143,0.45534857142857144
Approval Chamberlin-Courant (CC),0.44115885714285724,0.4900685714285714,0.4458628571428571,0.5214857142857143,0.4513371428571429,0.44804571428571427,0.45534857142857144,0.0,0.4580228571428571,0.6885257142857143,0.24352,0.46826285714285715,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.2842485714285714,0.4896342857142857,0.28425142857142854,0.4508114285714286,0.3933714285714286,0.1032,0.032857142857142856,0.4580228571428571,0.0,0.35628571428571426,0.4177257142857143,0.037142857142857144,0.4580228571428571
Sequential Approval Chamberlin-Courant (seq-CC),0.38899314285714276,0.4911885714285714,0.36958857142857143,0.4668685714285714,0.45371428571428574,0.3706857142857143,0.3572342857142857,0.6885257142857143,0.35628571428571426,0.0,0.6238171428571428,0.34698285714285715,0.6885257142857143
Monroe's Approval Rule (Monroe),0.3369337142857142,0.4901257142857143,0.34062857142857145,0.47917714285714286,0.38427428571428573,0.38977142857142855,0.4052342857142857,0.24352,0.4177257142857143,0.6238171428571428,0.0,0.4173257142857143,0.24352
Greedy Monroe,0.26700514285714283,0.4894742857142857,0.2673257142857143,0.4458857142857143,0.38627428571428574,0.10641142857142857,0.05158857142857143,0.46826285714285715,0.037142857142857144,0.34698285714285715,0.4173257142857143,0.0,0.46826285714285715
Minimax Approval Voting (MAV),0.44115885714285724,0.4900685714285714,0.4458628571428571,0.5214857142857143,0.4513371428571429,0.44804571428571427,0.45534857142857144,0.0,0.4580228571428571,0.6885257142857143,0.24352,0.46826285714285715,0.0
