,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV)
NN,,0.4921600000000001,0.0,0.0,0.0,0.0,0.0,0.45736,0.0,0.4572685714285715,0.0,0.0,0.0
Random Choice,0.4921600000000001,0.0,0.49216,0.49216,0.49216,0.49216,0.49216,0.4933828571428571,0.49216,0.48624,0.49216,0.49216,0.49216
Borda ranking,0.0,0.49216,0.0,0.0,0.0,0.0,0.0,0.45736,0.0,0.4572685714285714,0.0,0.0,0.0
Plurality ranking,0.0,0.49216,0.0,0.0,0.0,0.0,0.0,0.45736,0.0,0.4572685714285714,0.0,0.0,0.0
STV,0.0,0.49216,0.0,0.0,0.0,0.0,0.0,0.45736,0.0,0.4572685714285714,0.0,0.0,0.0
Approval Voting (AV),0.0,0.49216,0.0,0.0,0.0,0.0,0.0,0.45736,0.0,0.4572685714285714,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0,0.49216,0.0,0.0,0.0,0.0,0.0,0.45736,0.0,0.4572685714285714,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.45736,0.4933828571428571,0.45736,0.45736,0.45736,0.45736,0.45736,0.0,0.45736,0.8407885714285714,0.45736,0.45736,0.45736
Lexicographic Chamberlin-Courant (lex-CC),0.0,0.49216,0.0,0.0,0.0,0.0,0.0,0.45736,0.0,0.4572685714285714,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.4572685714285715,0.48624,0.4572685714285714,0.4572685714285714,0.4572685714285714,0.4572685714285714,0.4572685714285714,0.8407885714285714,0.4572685714285714,0.0,0.4572685714285714,0.4572685714285714,0.4572685714285714
Monroe's Approval Rule (Monroe),0.0,0.49216,0.0,0.0,0.0,0.0,0.0,0.45736,0.0,0.4572685714285714,0.0,0.0,0.0
Greedy Monroe,0.0,0.49216,0.0,0.0,0.0,0.0,0.0,0.45736,0.0,0.4572685714285714,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.0,0.49216,0.0,0.0,0.0,0.0,0.0,0.45736,0.0,0.4572685714285714,0.0,0.0,0.0
