,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV)
NN,,0.4898262857142857,0.08272457142857143,0.3502382857142858,0.2704079999999999,0.09200628571428571,0.13106514285714285,0.4747411428571428,0.20483657142857145,0.44411942857142866,0.4339759999999999,0.20880228571428572,0.4138542857142856
Random Choice,0.4898262857142857,0.0,0.4903085714285714,0.4896457142857143,0.49074285714285715,0.49038857142857145,0.4898742857142857,0.48995428571428573,0.48962285714285714,0.4886742857142857,0.4906285714285714,0.4880342857142857,0.48906285714285713
Borda ranking,0.08272457142857143,0.4903085714285714,0.0,0.3423771428571429,0.27417142857142857,0.10210285714285715,0.10250285714285715,0.4930514285714286,0.17526857142857144,0.42437714285714284,0.45293714285714287,0.18742857142857142,0.41882285714285716
Plurality ranking,0.3502382857142858,0.4896457142857143,0.3423771428571429,0.0,0.3372,0.3612914285714286,0.3723657142857143,0.5118171428571429,0.39741714285714286,0.45688,0.48254857142857144,0.39689142857142856,0.48842285714285716
STV,0.2704079999999999,0.49074285714285715,0.27417142857142857,0.3372,0.0,0.2694857142857143,0.28989714285714285,0.49072,0.32594285714285715,0.4417257142857143,0.4530057142857143,0.328,0.45187428571428573
Approval Voting (AV),0.09200628571428571,0.49038857142857145,0.10210285714285715,0.3612914285714286,0.2694857142857143,0.0,0.08246857142857143,0.4810514285714286,0.17454857142857144,0.43709714285714285,0.43854857142857145,0.1886057142857143,0.41973714285714286
Proportional Approval Voting (PAV),0.13106514285714285,0.4898742857142857,0.10250285714285715,0.3723657142857143,0.28989714285714285,0.08246857142857143,0.0,0.4867885714285714,0.10618285714285715,0.43054857142857145,0.44629714285714284,0.1654857142857143,0.41268571428571427
Approval Chamberlin-Courant (CC),0.4747411428571428,0.48995428571428573,0.4930514285714286,0.5118171428571429,0.49072,0.4810514285714286,0.4867885714285714,0.0,0.48382857142857144,0.8495657142857143,0.06365714285714286,0.5204342857142857,0.18064
Lexicographic Chamberlin-Courant (lex-CC),0.20483657142857145,0.48962285714285714,0.17526857142857144,0.39741714285714286,0.32594285714285715,0.17454857142857144,0.10618285714285715,0.48382857142857144,0.0,0.4317485714285714,0.44856,0.18173714285714285,0.40501714285714285
Sequential Approval Chamberlin-Courant (seq-CC),0.44411942857142866,0.4886742857142857,0.42437714285714284,0.45688,0.4417257142857143,0.43709714285714285,0.43054857142857145,0.8495657142857143,0.4317485714285714,0.0,0.8025942857142857,0.39642285714285713,0.7180457142857143
Monroe's Approval Rule (Monroe),0.4339759999999999,0.4906285714285714,0.45293714285714287,0.48254857142857144,0.4530057142857143,0.43854857142857145,0.44629714285714284,0.06365714285714286,0.44856,0.8025942857142857,0.0,0.48438857142857145,0.17682285714285714
Greedy Monroe,0.20880228571428572,0.4880342857142857,0.18742857142857142,0.39689142857142856,0.328,0.1886057142857143,0.1654857142857143,0.5204342857142857,0.18173714285714285,0.39642285714285713,0.48438857142857145,0.0,0.4512457142857143
Minimax Approval Voting (MAV),0.4138542857142856,0.48906285714285713,0.41882285714285716,0.48842285714285716,0.45187428571428573,0.41973714285714286,0.41268571428571427,0.18064,0.40501714285714285,0.7180457142857143,0.17682285714285714,0.4512457142857143,0.0
