,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV)
NN,,0.40880800000000006,0.037480571428571426,0.20073942857142857,0.16493485714285713,0.050486857142857146,0.052093714285714285,0.3863942857142857,0.08044799999999999,0.4000560000000001,0.29348,0.11719485714285713,0.31104571428571426
Random Choice,0.40880800000000006,0.0,0.40901714285714286,0.40862857142857145,0.40868571428571426,0.4083657142857143,0.40891428571428573,0.40792,0.4090057142857143,0.4089028571428571,0.40789714285714285,0.40806857142857145,0.40808
Borda ranking,0.037480571428571426,0.40901714285714286,0.0,0.18884571428571428,0.16270857142857142,0.04344,0.04307428571428572,0.40838857142857143,0.072,0.3862514285714286,0.31548571428571426,0.10963428571428571,0.33301714285714284
Plurality ranking,0.20073942857142857,0.40862857142857145,0.18884571428571428,0.0,0.2536342857142857,0.21042285714285713,0.20993142857142857,0.46488,0.21818285714285715,0.32810285714285714,0.3964114285714286,0.23288,0.40786285714285714
STV,0.16493485714285713,0.40868571428571426,0.16270857142857142,0.2536342857142857,0.0,0.16595428571428572,0.16611428571428571,0.4073257142857143,0.17568,0.3909714285714286,0.31458285714285716,0.19065142857142858,0.33632
Approval Voting (AV),0.050486857142857146,0.4083657142857143,0.04344,0.21042285714285713,0.16595428571428572,0.0,0.008617142857142858,0.40193142857142855,0.053405714285714286,0.39230857142857145,0.30902857142857143,0.10465142857142858,0.3265828571428571
Proportional Approval Voting (PAV),0.052093714285714285,0.40891428571428573,0.04307428571428572,0.20993142857142857,0.16611428571428571,0.008617142857142858,0.0,0.4058285714285714,0.045622857142857146,0.3884228571428571,0.3129257142857143,0.10333714285714286,0.33048
Approval Chamberlin-Courant (CC),0.3863942857142857,0.40792,0.40838857142857143,0.46488,0.4073257142857143,0.40193142857142855,0.4058285714285714,0.0,0.40584,0.5714285714285714,0.10022857142857143,0.42258285714285715,0.08976
Lexicographic Chamberlin-Courant (lex-CC),0.08044799999999999,0.4090057142857143,0.072,0.21818285714285715,0.17568,0.053405714285714286,0.045622857142857146,0.40584,0.0,0.38810285714285714,0.31416,0.11592,0.3262857142857143
Sequential Approval Chamberlin-Courant (seq-CC),0.4000560000000001,0.4089028571428571,0.3862514285714286,0.32810285714285714,0.3909714285714286,0.39230857142857145,0.3884228571428571,0.5714285714285714,0.38810285714285714,0.0,0.5293942857142857,0.37128,0.5395314285714286
Monroe's Approval Rule (Monroe),0.29348,0.40789714285714285,0.31548571428571426,0.3964114285714286,0.31458285714285716,0.30902857142857143,0.3129257142857143,0.10022857142857143,0.31416,0.5293942857142857,0.0,0.32973714285714284,0.07305142857142857
Greedy Monroe,0.11719485714285713,0.40806857142857145,0.10963428571428571,0.23288,0.19065142857142858,0.10465142857142858,0.10333714285714286,0.42258285714285715,0.11592,0.37128,0.32973714285714284,0.0,0.3479542857142857
Minimax Approval Voting (MAV),0.31104571428571426,0.40808,0.33301714285714284,0.40786285714285714,0.33632,0.3265828571428571,0.33048,0.08976,0.3262857142857143,0.5395314285714286,0.07305142857142857,0.3479542857142857,0.0
