,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
Random Choice,0.13133979797979795,0.061320000000000006,0.6464355555555555,0.0,0.11244444444444444,0.37236444444444444,0.1678222222222222,3.111111111111112e-05,3.555555555555556e-05,0.08420888888888889,7.555555555555554e-05,0.0
Borda ranking,0.016374141414141386,0.0,0.11179555555555555,0.0,0.011342222222222222,0.03933333333333334,0.010426666666666666,0.0,0.0,0.007217777777777777,0.0,0.0
Plurality ranking,0.05640323232323227,0.003644444444444444,0.40387555555555554,0.0,0.0,0.21268888888888884,0.00020444444444444446,0.0,0.0,0.0,2.2222222222222223e-05,0.0
Approval Voting (AV),0.05686424242424239,0.0030755555555555553,0.3038222222222222,0.0,0.060635555555555554,0.15165777777777778,0.062204444444444444,0.0,0.0,0.044111111111111115,0.0,0.0
Proportional Approval Voting (PAV),0.05906989898989894,0.0030622222222222223,0.3203866666666666,0.0,0.06089333333333333,0.16042222222222224,0.06064444444444444,0.0,0.0,0.04436,0.0,0.0
Approval Chamberlin-Courant (CC),0.1054424242424242,0.031039999999999998,0.5159511111111111,0.0,0.11032444444444445,0.2867555555555556,0.1328488888888889,1.3333333333333333e-05,2.6666666666666667e-05,0.08287555555555554,3.111111111111112e-05,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.06774383838383834,0.0031288888888888894,0.3737866666666666,0.0,0.06383555555555556,0.19294222222222224,0.06542666666666667,0.0,0.0,0.04606222222222223,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.09589696969696966,0.01670222222222222,0.49080888888888885,0.0,0.09591999999999998,0.2725066666666667,0.10687555555555554,0.0,1.777777777777778e-05,0.07203555555555556,0.0,0.0
Monroe's Approval Rule (Monroe),0.10534505050505047,0.031022222222222222,0.5154088888888889,0.0,0.11030666666666665,0.28636,0.13276888888888888,1.3333333333333333e-05,2.2222222222222223e-05,0.08286222222222223,3.111111111111112e-05,0.0
Greedy Monroe,0.08006949494949489,0.007622222222222221,0.42509777777777774,0.0,0.07759111111111111,0.2287422222222222,0.08403555555555556,0.0,0.0,0.057675555555555556,0.0,0.0
Minimax Approval Voting (MAV),0.12817858585858583,0.05846666666666665,0.6397466666666668,0.0,0.11043555555555555,0.36979999999999996,0.14845777777777777,2.2222222222222223e-05,3.111111111111112e-05,0.08295999999999999,4.4444444444444447e-05,0.0
NN,7.808978675645308e-05,7.022633744855966e-06,3.717901234567901e-05,0.0,0.0002589526748971194,2.6131687242798356e-07,0.00038965432098765445,4.11522633744856e-08,0.0,0.0001658724279835391,4.11522633744856e-09,0.0
