,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
Random Choice,0.3065179797979798,0.11279111111111112,0.8433688888888891,0.0024533333333333334,0.32413333333333333,0.7829244444444445,0.3432044444444445,0.23813777777777778,0.23910222222222222,0.2528266666666667,0.2212977777777778,0.011457777777777779
Borda ranking,0.0056351515151514785,0.0,0.036066666666666664,0.0,0.0011466666666666665,0.02308,0.0009733333333333334,8.88888888888889e-06,1.3333333333333333e-05,0.0006977777777777776,0.0,0.0
Plurality ranking,0.0550715151515151,0.00036,0.25588,0.0,0.022635555555555555,0.22302222222222223,3.555555555555555e-05,0.0,0.06937333333333334,0.0,0.027719999999999998,0.006759999999999999
Approval Voting (AV),0.0145434343434343,0.0002755555555555556,0.08284000000000001,0.0,0.007311111111111111,0.057466666666666666,0.007004444444444444,0.0,0.0,0.0050799999999999994,0.0,0.0
Proportional Approval Voting (PAV),0.015369696969696922,0.0002755555555555556,0.08804000000000001,0.0,0.007324444444444445,0.0616088888888889,0.006724444444444444,0.0,0.0,0.005093333333333333,0.0,0.0
Approval Chamberlin-Courant (CC),0.1982795959595959,0.053613333333333325,0.5699377777777778,0.0,0.24978666666666666,0.5229511111111111,0.1986711111111111,0.08766222222222224,0.17614666666666665,0.17753333333333332,0.13569777777777778,0.009075555555555554
Lexicographic Chamberlin-Courant (lex-CC),0.027248484848484793,0.0002933333333333333,0.15270666666666666,0.0,0.009204444444444444,0.12143111111111111,0.009248888888888888,0.0003422222222222223,0.0003333333333333333,0.006173333333333333,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.15800202020202014,0.024493333333333332,0.53736,0.0,0.16852444444444442,0.4942355555555556,0.10288888888888888,0.03723111111111111,0.16827111111111112,0.09099555555555555,0.10504,0.008982222222222221
Monroe's Approval Rule (Monroe),0.11216202020202015,0.035924444444444446,0.38221333333333335,0.0,0.13446666666666665,0.33565333333333336,0.12831111111111113,0.027146666666666666,0.05639555555555556,0.10979111111111112,0.02388,0.0
Greedy Monroe,0.03333414141414136,0.0013377777777777776,0.17892,0.0,0.014013333333333334,0.14362666666666668,0.014266666666666669,1.3333333333333335e-05,0.004408888888888889,0.01008888888888889,0.0,0.0
Minimax Approval Voting (MAV),0.23426464646464643,0.09383999999999999,0.74952,0.0,0.21077333333333334,0.689991111111111,0.24327555555555558,0.15652,0.15129333333333334,0.16245333333333334,0.11924444444444446,0.0
NN,1.2718106995884425e-05,2.1008230452674904e-06,3.315843621399176e-05,0.0,3.223662551440328e-05,2.263374485596708e-08,5.1176954732510267e-05,4.11522633744856e-08,0.0,2.1115226337448567e-05,4.732510288065844e-08,0.0
