,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
Random Choice,0.2648262626262626,0.11060444444444444,0.8539999999999999,0.0,0.21134222222222224,0.7668222222222222,0.31431111111111115,0.023084444444444446,0.19459555555555555,0.1801111111111111,0.2582177777777777,0.0
Borda ranking,0.028597979797979747,0.0,0.12969333333333333,0.0,0.02540444444444444,0.11169777777777777,0.02312,0.0018711111111111107,0.005586666666666667,0.016426666666666666,0.0007777777777777778,0.0
Plurality ranking,0.12365818181818182,0.013537777777777779,0.5888088888888889,0.0,0.0011644444444444445,0.5289600000000001,0.0033911111111111104,0.0,0.08504,0.0,0.13933777777777778,0.0
Approval Voting (AV),0.05456323232323227,0.003537777777777777,0.23221333333333335,0.0,0.055782222222222226,0.20379999999999998,0.06083111111111111,7.555555555555556e-05,0.0017288888888888887,0.04222666666666666,0.0,0.0
Proportional Approval Voting (PAV),0.06565333333333329,0.0035466666666666663,0.2959333333333334,0.0,0.061448888888888886,0.25880444444444445,0.05345333333333333,0.00046222222222222216,0.0017688888888888889,0.04676888888888889,0.0,0.0
Approval Chamberlin-Courant (CC),0.22317575757575753,0.05713777777777778,0.7376666666666667,0.0,0.2080755555555555,0.6619600000000001,0.22313333333333332,0.01244,0.14868000000000003,0.1771422222222222,0.22869777777777778,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.11284040404040398,0.003551111111111111,0.49262222222222224,0.0,0.10619111111111111,0.44260444444444447,0.08886666666666666,0.007453333333333332,0.013982222222222222,0.08597333333333332,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.20362222222222218,0.038337777777777776,0.7097066666666668,0.0,0.19117333333333336,0.6392888888888889,0.19788,0.009337777777777778,0.13824444444444445,0.16192444444444445,0.1539511111111111,0.0
Monroe's Approval Rule (Monroe),0.1953462626262626,0.048848888888888886,0.6707777777777777,0.0,0.1823111111111111,0.6000622222222223,0.18380000000000002,0.007986666666666666,0.1073511111111111,0.1547911111111111,0.19288000000000002,0.0
Greedy Monroe,0.10136363636363634,0.0041466666666666666,0.44327999999999995,0.0,0.08798666666666666,0.39772,0.07815555555555556,0.001488888888888889,0.023893333333333336,0.06989777777777778,0.008431111111111111,0.0
Minimax Approval Voting (MAV),0.23762949494949495,0.0937111111111111,0.8160133333333333,0.0,0.19040444444444446,0.7343200000000001,0.2611688888888889,0.021635555555555557,0.1554977777777778,0.16161333333333333,0.17956,0.0
NN,9.650112233445523e-05,7.386831275720165e-07,3.265020576131688e-05,0.0,0.0003662839506172837,0.0,0.00038921193415637865,5.349794238683128e-08,2.080246913580247e-06,0.0002606975308641975,9.7962962962963e-06,0.0
