,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
Random Choice,0.38705643416575647,0.10171333404037189,0.837667981152372,0.015924555348494254,0.47421464781903844,0.721499092263483,0.6042810389426743,0.20220981692751339,0.007142196970844755,0.4040410389426743,0.683450203374594,0.20547687004126075
Borda ranking,0.005247676767676745,0.0,0.03497777777777778,0.0,0.0,0.02274666666666667,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.05141777777777775,0.0,0.30662222222222224,0.0,0.0,0.25580888888888886,0.0,0.0,0.003164444444444444,0.0,0.0,0.0
Approval Voting (AV),0.017852929292929268,0.0,0.11131555555555556,0.0,3.111111111111111e-05,0.0849422222222222,3.111111111111111e-05,4.444444444444445e-06,2.666666666666667e-05,3.111111111111111e-05,0.0,0.0
Proportional Approval Voting (PAV),0.017852929292929268,0.0,0.11131555555555556,0.0,3.111111111111111e-05,0.0849422222222222,3.111111111111111e-05,4.444444444444445e-06,2.666666666666667e-05,3.111111111111111e-05,0.0,0.0
Approval Chamberlin-Courant (CC),0.3030528104186265,0.04923111111111111,0.6520665608128923,0.015873848966461112,0.47413767192400347,0.5664087830351145,0.39702513441308224,0.10553350766884334,0.005781596190072168,0.3887940233019711,0.47287544970178125,0.205853227479559
Lexicographic Chamberlin-Courant (lex-CC),0.017852929292929268,0.0,0.11131555555555556,0.0,3.111111111111111e-05,0.0849422222222222,3.111111111111111e-05,4.444444444444445e-06,2.666666666666667e-05,3.111111111111111e-05,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.2985143850486135,0.03871555555555556,0.6359140394628527,0.01571445984778469,0.4732251505739638,0.5537629283517416,0.39544962178486837,0.09978405082597257,0.0056369506436576115,0.38678739956264613,0.4729362616850749,0.2057318172406305
Monroe's Approval Rule (Monroe),0.15798747474747477,0.03828888888888889,0.4104888888888889,0.0,0.23286666666666664,0.3304488888888889,0.22460444444444447,0.04168888888888889,0.00324,0.22457777777777777,0.23165777777777782,0.0
Greedy Monroe,0.04013252525252522,0.0,0.24048,0.0,0.00014666666666666666,0.19957777777777777,0.00014666666666666666,5.333333333333333e-05,0.0009066666666666667,0.00014666666666666666,0.0,0.0
Minimax Approval Voting (MAV),0.16448161616161616,0.06386666666666668,0.5393688888888888,0.0,0.1016311111111111,0.4523244444444445,0.22335555555555558,0.10082222222222223,0.004204444444444445,0.10098222222222222,0.22274222222222217,0.0
NN,1.2233445566776284e-07,0.0,1.345679012345679e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
