Method,Mean,Cond L,Cond W,Cons.,Dummet,F Maj,Stab.,Maj W,Maj L,S. Coal.,Pareto,Unan.
NN,0.006605065340909063,3.384375000000001e-05,0.0006846874999999999,1.0968749999999999e-05,0.027427750000000004,3.4375000000000004e-07,0.02520153125,7.787500000000002e-05,0.0003149374999999999,0.01725609375,0.0016476875000000005,0.0
Random,0.23406116189450063,0.12672493298600065,0.8034238920389981,0.014867600790873143,0.24987264203899828,0.22475701703899828,0.28656963478932773,0.10867015899845461,0.2145238582905323,0.19081588478932773,0.2839545170389983,0.07049264203899823
Borda,0.014396931818181778,0.0,0.09585625,1e-05,0.015807499999999995,0.015915624999999996,0.010738125,0.0024024999999999997,0.007301875000000001,0.008730624999999999,0.0016037499999999997,0.0
AV,0.028908920454545406,0.004625000000000002,0.19671687500000004,1.8125000000000007e-05,0.043740000000000015,0.0,0.039921250000000005,0.000188125,0.00249375,0.030294999999999996,0.0,0.0
PAV,0.03392585227272723,0.004645625000000002,0.24196062499999998,1.6250000000000002e-05,0.046951875000000004,0.0061937500000000005,0.036408750000000004,0.0009524999999999997,0.003044375,0.033010625,0.0,0.0
Greedy M.,0.053051647727272694,0.006420624999999998,0.34847375,1.7500000000000002e-05,0.06301375,0.03292,0.051218750000000014,0.0025299999999999997,0.026623124999999997,0.04651750000000001,0.005833125000000001,0.0
lex-CC,0.05519289772727268,0.004660000000000002,0.362485625,1.6875000000000004e-05,0.07182437499999998,0.03314937500000001,0.057220625,0.009403125000000003,0.013344375000000002,0.0550175,0.0,0.0
Plurality,0.08540226629419735,0.015823125,0.4849365385380211,0.0,0.043785913538021005,0.11132216353802102,0.0032393750000000005,0.0,0.10928036154606612,0.0,0.13254341353802104,0.038494038538021
Monroe,0.11508068181818179,0.04840875,0.52498375,1.8750000000000002e-05,0.13557687499999999,0.085886875,0.129695,0.015944999999999997,0.089793125,0.1108325,0.124746875,0.0
MAV,0.15491863636363631,0.09602187499999998,0.7004556250000001,2.4375000000000013e-05,0.14676187499999996,0.150491875,0.17501812500000005,0.05414750000000001,0.135685,0.11774062500000002,0.12775812499999997,0.0
seq-CC,0.16435415559881572,0.043430624999999994,0.6281560233341665,0.0015417209160947217,0.20770977333416663,0.17514289833416663,0.16688430449184127,0.04596633357574656,0.1555395564406163,0.14531805449184126,0.18117352333416664,0.05703289833416662
CC,0.1812769251449314,0.06822562499999998,0.6609969311338123,0.0015566350109085935,0.22955568113381208,0.17954130613381206,0.19603414853302126,0.05423313852211264,0.1635528253261215,0.16639977353302127,0.21681318113381212,0.0571369311338121
