# Alternatives,# Winners,Distribution,Overlap Count,Overlap Percent
5,1,stratification__args__weight=0.5,0,0.0
5,2,stratification__args__weight=0.5,0,0.0
5,3,stratification__args__weight=0.5,0,0.0
5,4,stratification__args__weight=0.5,0,0.0
6,1,stratification__args__weight=0.5,0,0.0
6,2,stratification__args__weight=0.5,0,0.0
6,3,stratification__args__weight=0.5,0,0.0
6,4,stratification__args__weight=0.5,0,0.0
6,5,stratification__args__weight=0.5,0,0.0
7,1,stratification__args__weight=0.5,0,0.0
7,2,stratification__args__weight=0.5,0,0.0
7,3,stratification__args__weight=0.5,0,0.0
7,4,stratification__args__weight=0.5,0,0.0
7,5,stratification__args__weight=0.5,0,0.0
7,6,stratification__args__weight=0.5,0,0.0
5,1,URN-R,891,0.0356
5,2,URN-R,887,0.0355
5,3,URN-R,895,0.0358
5,4,URN-R,750,0.03
6,1,URN-R,544,0.0218
6,2,URN-R,637,0.0255
6,3,URN-R,592,0.0237
6,4,URN-R,165,0.0066
6,5,URN-R,579,0.0232
7,1,URN-R,28,0.0011
7,2,URN-R,130,0.0052
7,3,URN-R,131,0.0052
7,4,URN-R,135,0.0054
7,5,URN-R,142,0.0057
7,6,URN-R,125,0.005
5,1,IC,0,0.0
5,2,IC,0,0.0
5,3,IC,0,0.0
5,4,IC,0,0.0
6,1,IC,0,0.0
6,2,IC,0,0.0
6,3,IC,0,0.0
6,4,IC,0,0.0
6,5,IC,0,0.0
7,1,IC,0,0.0
7,2,IC,0,0.0
7,3,IC,0,0.0
7,4,IC,0,0.0
7,5,IC,0,0.0
7,6,IC,0,0.0
5,1,IAC,0,0.0
5,2,IAC,0,0.0
5,3,IAC,0,0.0
5,4,IAC,0,0.0
6,1,IAC,0,0.0
6,2,IAC,0,0.0
6,3,IAC,0,0.0
6,4,IAC,0,0.0
6,5,IAC,0,0.0
7,1,IAC,0,0.0
7,2,IAC,0,0.0
7,3,IAC,0,0.0
7,4,IAC,0,0.0
7,5,IAC,0,0.0
7,6,IAC,0,0.0
5,1,identity,25000,1.0
5,2,identity,25000,1.1363
5,3,identity,25000,1.0
5,4,identity,25000,1.0
6,1,identity,25000,1.0
6,2,identity,25000,1.0
6,3,identity,25000,1.0
6,4,identity,25000,1.0
6,5,identity,25000,1.0
7,1,identity,24498,0.9799
7,3,identity,24865,0.9946
7,4,identity,24806,0.9922
7,5,identity,24822,0.9929
7,6,identity,23443,0.9377
5,1,MALLOWS-RELPHI-R,60,0.0024
5,2,MALLOWS-RELPHI-R,56,0.0022
5,3,MALLOWS-RELPHI-R,66,0.0026
5,4,MALLOWS-RELPHI-R,71,0.0028
6,1,MALLOWS-RELPHI-R,4,0.0002
6,2,MALLOWS-RELPHI-R,7,0.0003
6,4,MALLOWS-RELPHI-R,3,0.0001
6,5,MALLOWS-RELPHI-R,4,0.0002
7,1,MALLOWS-RELPHI-R,0,0.0
7,2,MALLOWS-RELPHI-R,0,0.0
7,3,MALLOWS-RELPHI-R,0,0.0
7,4,MALLOWS-RELPHI-R,0,0.0
7,5,MALLOWS-RELPHI-R,0,0.0
7,6,MALLOWS-RELPHI-R,1,0.0
5,1,single_peaked_conitzer,0,0.0
5,2,single_peaked_conitzer,0,0.0
5,3,single_peaked_conitzer,0,0.0
5,4,single_peaked_conitzer,0,0.0
6,1,single_peaked_conitzer,0,0.0
