,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,161,0,0,36,44,1,1,1,0,0,34,42,0
Random Choice,340,1,0,75,91,3,5,5,0,0,74,86,0
Borda ranking,3,0,0,1,2,0,0,0,0,0,0,0,0
Plurality ranking,38,0,0,17,21,0,0,0,0,0,0,0,0
Approval Voting (AV),29,0,0,12,17,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),29,0,0,12,17,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),111,0,0,50,58,0,1,1,0,0,1,0,0
Lexicographic Chamberlin-Courant (lex-CC),29,0,0,12,17,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),104,1,0,45,52,0,2,2,0,0,2,0,0
Monroe's Approval Rule (Monroe),109,0,0,49,57,0,1,1,0,0,1,0,0
Greedy Monroe,54,0,0,24,30,0,0,0,0,0,0,0,0
Minimax Approval Voting (MAV),111,0,0,50,58,0,1,1,0,0,1,0,0
