,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,325,0,0,49,49,1,49,35,2,49,39,49,0
Random Choice,647,0,0,97,97,1,97,76,4,97,81,97,0
Borda ranking,0,0,0,0,0,0,0,0,0,0,0,0,0
Plurality ranking,0,0,0,0,0,0,0,0,0,0,0,0,0
Approval Voting (AV),0,0,0,0,0,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),0,0,0,0,0,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),645,0,0,99,99,0,99,67,4,99,79,99,0
Lexicographic Chamberlin-Courant (lex-CC),0,0,0,0,0,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),651,0,0,98,98,0,98,75,4,98,82,98,0
Monroe's Approval Rule (Monroe),0,0,0,0,0,0,0,0,0,0,0,0,0
Greedy Monroe,0,0,0,0,0,0,0,0,0,0,0,0,0
Minimax Approval Voting (MAV),0,0,0,0,0,0,0,0,0,0,0,0,0
