,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,174,0,0,31,39,6,24,24,0,0,24,24,0
Random Choice,326,0,0,57,74,13,46,45,0,0,45,46,0
Borda ranking,15,0,0,6,9,0,0,0,0,0,0,0,0
Plurality ranking,119,0,0,53,66,0,0,0,0,0,0,0,0
Approval Voting (AV),50,0,0,22,28,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),50,0,0,22,28,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),348,0,0,62,78,12,49,49,0,0,49,49,0
Lexicographic Chamberlin-Courant (lex-CC),50,0,0,22,28,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),282,0,0,59,75,8,35,35,0,0,35,35,0
Monroe's Approval Rule (Monroe),348,0,0,62,78,12,49,49,0,0,49,49,0
Greedy Monroe,89,0,0,39,50,0,0,0,0,0,0,0,0
Minimax Approval Voting (MAV),348,0,0,62,78,12,49,49,0,0,49,49,0
