,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,149,0,0,26,34,6,20,20,0,0,20,20,0
Random Choice,307,0,0,56,73,10,42,42,0,0,42,42,0
Borda ranking,15,0,0,6,9,0,0,0,0,0,0,0,0
Plurality ranking,119,0,0,51,68,0,0,0,0,0,0,0,0
Approval Voting (AV),52,0,0,20,32,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),52,0,0,20,32,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),298,0,0,53,69,12,41,41,0,0,41,41,0
Lexicographic Chamberlin-Courant (lex-CC),52,0,0,20,32,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),296,0,0,57,76,11,38,38,0,0,38,38,0
Monroe's Approval Rule (Monroe),298,0,0,53,69,12,41,41,0,0,41,41,0
Greedy Monroe,92,0,0,39,53,0,0,0,0,0,0,0,0
Minimax Approval Voting (MAV),298,0,0,53,69,12,41,41,0,0,41,41,0
