,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.1279,0.0,0.0,0.0486,0.0662,0.0131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Borda ranking,0.0175,0.0,0.0,0.0064,0.0111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.0522,0.0,0.0,0.0205,0.0305,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0513,0.0,0.0,0.0205,0.0301,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0513,0.0,0.0,0.0205,0.0301,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.0513,0.0,0.0,0.0205,0.0301,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0513,0.0,0.0,0.0205,0.0301,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.0522,0.0,0.0,0.0205,0.0305,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.0513,0.0,0.0,0.0205,0.0301,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.0522,0.0,0.0,0.0205,0.0305,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.1277,0.0,0.0,0.0484,0.0657,0.0136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
