,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.3599,0.03,0.0184,0.0803,0.0868,0.0086,0.0323,0.032,0.0,0.0011,0.0464,0.024,0.0
Borda ranking,0.0041,0.0,0.0,0.0015,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.028,0.0,0.0005,0.0112,0.0142,0.0,0.0005,0.0,0.0,0.0005,0.0,0.0011,0.0
Approval Voting (AV),0.0118,0.0,0.0,0.0047,0.0071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0155,0.0,0.0,0.0061,0.0094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.1077,0.0049,0.0022,0.0358,0.0398,0.0,0.0057,0.005,0.0,0.0014,0.005,0.0079,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0363,0.0005,0.0001,0.0151,0.0191,0.0,0.0005,0.0005,0.0,0.0,0.0005,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.0845,0.0009,0.0036,0.0328,0.0365,0.0,0.0015,0.0009,0.0,0.0012,0.0009,0.0062,0.0
Monroe's Approval Rule (Monroe),0.0262,0.0,0.0,0.0109,0.015,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0
Greedy Monroe,0.0261,0.0,0.0,0.0113,0.0148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.2273,0.0126,0.008,0.0636,0.0702,0.0062,0.0143,0.0143,0.0,0.0,0.0302,0.0079,0.0
