,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0006,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0002,0.0001,0.0
Random Choice,0.364,0.0338,0.0224,0.0679,0.0754,0.0076,0.037,0.0358,0.0003,0.003,0.0479,0.0329,0.0
Borda ranking,0.03,0.0009,0.0,0.0092,0.0118,0.0,0.0014,0.0014,0.0002,0.0,0.0028,0.0023,0.0
Plurality ranking,0.1445,0.0,0.0128,0.0529,0.0571,0.0,0.0021,0.0,0.0,0.0021,0.0,0.0175,0.0
Approval Voting (AV),0.0215,0.0002,0.0001,0.0075,0.0104,0.0,0.0007,0.0007,0.0003,0.0,0.0016,0.0,0.0
Proportional Approval Voting (PAV),0.0466,0.0026,0.0009,0.0141,0.0185,0.0,0.0032,0.0032,0.0002,0.0,0.0039,0.0,0.0
Approval Chamberlin-Courant (CC),0.2568,0.0227,0.0147,0.0615,0.067,0.0,0.0254,0.0238,0.0001,0.0031,0.0245,0.014,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.178,0.0161,0.0108,0.047,0.0518,0.0,0.0171,0.0171,0.0001,0.0,0.018,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.2439,0.0211,0.0139,0.059,0.0646,0.0,0.0238,0.0224,0.0001,0.0028,0.0235,0.0127,0.0
Monroe's Approval Rule (Monroe),0.078,0.0056,0.0022,0.0224,0.0273,0.0,0.0059,0.0059,0.0001,0.0,0.0066,0.002,0.0
Greedy Monroe,0.0745,0.0045,0.0035,0.0217,0.0264,0.0,0.0054,0.0054,0.0001,0.0,0.0069,0.0006,0.0
Minimax Approval Voting (MAV),0.2679,0.0237,0.015,0.0619,0.0687,0.0023,0.0247,0.0247,0.0001,0.0,0.0345,0.0123,0.0
