,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.2496,0.0035,0.0151,0.0776,0.087,0.0092,0.0048,0.0048,0.0,0.0,0.0331,0.0145,0.0
Borda ranking,0.0269,0.0002,0.0,0.0117,0.0138,0.0,0.0003,0.0003,0.0,0.0,0.0005,0.0001,0.0
Plurality ranking,0.1262,0.0,0.0038,0.0543,0.0617,0.0008,0.0,0.0,0.0,0.0,0.0008,0.0048,0.0
Approval Voting (AV),0.0441,0.0,0.0004,0.0193,0.0231,0.0001,0.0,0.0,0.0,0.0,0.0012,0.0,0.0
Proportional Approval Voting (PAV),0.0764,0.0005,0.0004,0.034,0.0396,0.0001,0.0006,0.0006,0.0,0.0,0.0006,0.0,0.0
Approval Chamberlin-Courant (CC),0.1597,0.0029,0.0024,0.067,0.0746,0.0001,0.0039,0.0039,0.0,0.0,0.004,0.0009,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.1503,0.0024,0.0017,0.064,0.0715,0.0001,0.0035,0.0035,0.0,0.0,0.0036,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.1457,0.0012,0.0032,0.063,0.0703,0.0,0.0021,0.0021,0.0,0.0,0.0024,0.0014,0.0
Monroe's Approval Rule (Monroe),0.1116,0.0016,0.0006,0.0474,0.0538,0.0001,0.0022,0.0022,0.0,0.0,0.0025,0.0012,0.0
Greedy Monroe,0.1104,0.0007,0.0012,0.0495,0.0555,0.0,0.001,0.001,0.0,0.0,0.001,0.0005,0.0
Minimax Approval Voting (MAV),0.2188,0.0036,0.01,0.0737,0.0827,0.0062,0.0052,0.0052,0.0,0.0,0.0275,0.0047,0.0
