,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.2462,0.0034,0.0149,0.0761,0.0865,0.0082,0.0041,0.0041,0.0,0.0,0.0347,0.0142,0.0
Borda ranking,0.0257,0.0,0.0,0.0112,0.0139,0.0,0.0,0.0,0.0,0.0,0.0004,0.0002,0.0
Plurality ranking,0.1276,0.0,0.0039,0.0545,0.0621,0.0011,0.0,0.0,0.0,0.0,0.0006,0.0054,0.0
Approval Voting (AV),0.0438,0.0,0.0001,0.0196,0.0233,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0
Proportional Approval Voting (PAV),0.074,0.0002,0.0006,0.0331,0.0392,0.0,0.0003,0.0003,0.0,0.0,0.0003,0.0,0.0
Approval Chamberlin-Courant (CC),0.1578,0.0029,0.0032,0.0647,0.0737,0.0,0.0039,0.0039,0.0,0.0,0.0042,0.0013,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.1438,0.0024,0.0023,0.0601,0.0685,0.0,0.0034,0.0034,0.0,0.0,0.0037,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.1458,0.0014,0.0038,0.0614,0.0696,0.0,0.0024,0.0024,0.0,0.0,0.0024,0.0024,0.0
Monroe's Approval Rule (Monroe),0.1107,0.0014,0.0007,0.0469,0.0545,0.0,0.0018,0.0018,0.0,0.0,0.0022,0.0014,0.0
Greedy Monroe,0.1113,0.0005,0.0013,0.0491,0.0569,0.0,0.001,0.001,0.0,0.0,0.001,0.0005,0.0
Minimax Approval Voting (MAV),0.2217,0.0036,0.0124,0.0744,0.0845,0.0059,0.0048,0.0048,0.0,0.0,0.0259,0.0054,0.0
