,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.2857,0.0,0.0356,0.0795,0.0885,0.0085,0.0,0.0,0.0,0.0,0.0258,0.0478,0.0
Borda ranking,0.0072,0.0,0.0,0.0036,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.2493,0.0,0.0209,0.0747,0.0834,0.0076,0.0,0.0,0.0,0.0,0.0107,0.052,0.0
Approval Voting (AV),0.1379,0.0,0.0,0.0626,0.0725,0.0,0.0,0.0,0.0,0.0,0.0028,0.0,0.0
Proportional Approval Voting (PAV),0.187,0.0,0.0,0.0877,0.0993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.1884,0.0,0.0,0.0884,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.1884,0.0,0.0,0.0884,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.1879,0.0,0.0003,0.0877,0.0989,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
Monroe's Approval Rule (Monroe),0.1862,0.0,0.0,0.0872,0.0988,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
Greedy Monroe,0.1861,0.0,0.0001,0.0873,0.0984,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0
Minimax Approval Voting (MAV),0.1884,0.0,0.0,0.0884,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
