,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0011,0.0,0.0,0.0,0.0,0.0,0.0003,0.0002,0.0,0.0,0.0005,0.0,0.0
Random Choice,0.3456,0.0029,0.0278,0.078,0.0873,0.0087,0.0337,0.0281,0.0,0.0,0.0422,0.0369,0.0
Borda ranking,0.0262,0.0,0.0,0.0086,0.0101,0.0,0.0028,0.0021,0.0,0.0,0.0024,0.0002,0.0
Plurality ranking,0.1462,0.0,0.01,0.0552,0.0614,0.0007,0.0,0.0,0.0,0.0,0.0002,0.0187,0.0
Approval Voting (AV),0.0384,0.0,0.0001,0.01,0.0124,0.0,0.0049,0.0038,0.0,0.0,0.0072,0.0,0.0
Proportional Approval Voting (PAV),0.0527,0.0,0.0001,0.0158,0.0196,0.0,0.0061,0.0049,0.0,0.0,0.0062,0.0,0.0
Approval Chamberlin-Courant (CC),0.3409,0.0035,0.0265,0.0781,0.0879,0.0073,0.0341,0.0282,0.0,0.0,0.041,0.0343,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.1857,0.0015,0.005,0.0578,0.0644,0.0,0.0212,0.0179,0.0,0.0,0.0179,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.2851,0.0018,0.0217,0.0744,0.0822,0.0013,0.0291,0.0234,0.0,0.0,0.0332,0.018,0.0
Monroe's Approval Rule (Monroe),0.262,0.002,0.0105,0.0684,0.0775,0.002,0.0253,0.0208,0.0,0.0,0.0284,0.0271,0.0
Greedy Monroe,0.1128,0.0003,0.0022,0.0362,0.0409,0.0,0.0115,0.009,0.0,0.0,0.0103,0.0024,0.0
Minimax Approval Voting (MAV),0.2339,0.0018,0.01,0.0654,0.0735,0.0017,0.0276,0.0225,0.0,0.0,0.0261,0.0053,0.0
