,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0017,0.0,0.0,0.0,0.0,0.0,0.0006,0.0003,0.0,0.0,0.0007,0.0,0.0
Random Choice,0.3231,0.0019,0.0181,0.0743,0.0863,0.0093,0.0328,0.0263,0.0,0.0,0.0391,0.035,0.0
Borda ranking,0.0365,0.0,0.0,0.0116,0.0143,0.0,0.0041,0.0026,0.0,0.0,0.0037,0.0002,0.0
Plurality ranking,0.1516,0.0,0.0096,0.0562,0.0655,0.0012,0.0,0.0,0.0,0.0,0.0002,0.0189,0.0
Approval Voting (AV),0.053,0.0,0.0001,0.0132,0.0171,0.0,0.0078,0.0048,0.0,0.0,0.01,0.0,0.0
Proportional Approval Voting (PAV),0.0703,0.0,0.0003,0.022,0.0278,0.0,0.0082,0.0053,0.0,0.0,0.0067,0.0,0.0
Approval Chamberlin-Courant (CC),0.3181,0.0019,0.0184,0.0742,0.0862,0.0091,0.0323,0.0254,0.0,0.0,0.0391,0.0315,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.1782,0.001,0.0024,0.057,0.0649,0.0,0.0209,0.0159,0.0,0.0,0.0161,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.2762,0.0018,0.0157,0.0695,0.0804,0.0017,0.0302,0.0247,0.0,0.0,0.0346,0.0176,0.0
Monroe's Approval Rule (Monroe),0.262,0.0013,0.0098,0.0685,0.0802,0.0037,0.0253,0.0194,0.0,0.0,0.0285,0.0253,0.0
Greedy Monroe,0.128,0.0001,0.003,0.0393,0.0467,0.0001,0.0144,0.01,0.0,0.0,0.0117,0.0027,0.0
Minimax Approval Voting (MAV),0.2238,0.0016,0.0061,0.0646,0.0738,0.0032,0.0258,0.0204,0.0,0.0,0.0246,0.0037,0.0
