,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,6.181818181818182e-06,0.0,8e-06,0.0,6e-06,2e-05,0.0,0.0,0.0,0.0,0.0,3.2e-05
Random Choice,0.008229818181818182,0.001128,0.00281,0.037498,0.040678,0.007392,0.0,0.0,0.0,0.0,0.000164,0.000858
Borda ranking,0.0010721818181818183,0.000264,0.0,0.005448,0.006038,0.0,0.0,0.0,0.0,0.0,0.0,4.4e-05
Plurality ranking,0.004137090909090909,0.0,0.00015,0.021572,0.023172,0.000614,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.004155454545454545,0.0,0.000162,0.021646,0.023264,0.000638,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.004155454545454545,0.0,0.000162,0.021646,0.023264,0.000638,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.004155454545454545,0.0,0.000162,0.021646,0.023264,0.000638,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.004155454545454545,0.0,0.000162,0.021646,0.023264,0.000638,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.004140727272727273,0.0,0.000152,0.021588,0.023188,0.00062,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.004155454545454545,0.0,0.000162,0.021646,0.023264,0.000638,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.004140727272727273,0.0,0.000152,0.021588,0.023188,0.00062,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.008181818181818182,0.001102,0.002804,0.037396,0.040466,0.007206,0.0,0.0,0.0,0.0,0.000186,0.00084
