,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,6.890909090909091e-05,0.0,2.6e-05,0.0,0.000494,0.0,0.0,0.0,0.0,0.0,0.00014,9.2e-05
Random Choice,0.011074,0.000748,0.005094,0.03853,0.045188,0.002798,0.001148,0.001148,0.0,0.0,0.02005,0.00711
Borda ranking,0.0013485454545454545,3e-05,0.0,0.006354,0.007942,0.0,5.6e-05,5.6e-05,0.0,0.0,0.000342,5.4e-05
Plurality ranking,0.006383272727272727,0.0,0.001054,0.030532,0.035458,0.000308,0.0,0.0,0.0,0.0,0.000792,0.002072
Approval Voting (AV),0.0031754545454545455,0.0,6.8e-05,0.015276,0.018436,1.2e-05,0.0,0.0,0.0,0.0,0.001138,0.0
Proportional Approval Voting (PAV),0.004279818181818182,6.2e-05,9e-05,0.021144,0.02539,1e-05,0.00011,0.00011,0.0,0.0,0.000162,0.0
Approval Chamberlin-Courant (CC),0.006756363636363636,0.000494,0.000422,0.032614,0.037944,1e-05,0.000776,0.000776,0.0,0.0,0.000982,0.000302
Lexicographic Chamberlin-Courant (lex-CC),0.006505636363636364,0.000464,0.000336,0.031606,0.036772,1e-05,0.00073,0.00073,0.0,0.0,0.000914,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.006411454545454545,0.000276,0.000464,0.031424,0.03658,8e-06,0.000412,0.000412,0.0,0.0,0.00059,0.00036
Monroe's Approval Rule (Monroe),0.005798181818181818,0.000336,0.000178,0.028,0.032996,1e-05,0.000564,0.000564,0.0,0.0,0.00079,0.000342
Greedy Monroe,0.005647636363636364,9.6e-05,0.000286,0.028022,0.032934,8e-06,0.000166,0.000166,0.0,0.0,0.000298,0.000148
Minimax Approval Voting (MAV),0.011052727272727271,0.000816,0.005034,0.038634,0.045212,0.002606,0.001232,0.001232,0.0,0.0,0.019768,0.007046
