,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,7.109090909090909e-05,0.0,2e-05,0.0,0.000484,0.0,2e-06,2e-06,0.0,0.0,0.000178,9e-05
Random Choice,0.010593272727272727,0.000668,0.003184,0.038268,0.045076,0.002708,0.000972,0.000972,0.0,0.0,0.01895,0.005728
Borda ranking,0.0013618181818181817,2e-05,0.0,0.006424,0.008062,0.0,5.4e-05,5.4e-05,0.0,0.0,0.000314,5.2e-05
Plurality ranking,0.006438,0.0,0.00105,0.030764,0.035908,0.000324,0.0,0.0,0.0,0.0,0.00078,0.001992
Approval Voting (AV),0.003254,2e-06,8.6e-05,0.015618,0.01888,1.2e-05,2e-06,2e-06,0.0,0.0,0.001192,0.0
Proportional Approval Voting (PAV),0.004306,2.2e-05,9.8e-05,0.021352,0.025658,2e-06,6.4e-05,6.4e-05,0.0,0.0,0.000106,0.0
Approval Chamberlin-Courant (CC),0.006692363636363636,0.000454,0.00038,0.032478,0.037892,4e-06,0.00066,0.00066,0.0,0.0,0.000816,0.000272
Lexicographic Chamberlin-Courant (lex-CC),0.006447272727272727,0.000434,0.000308,0.031436,0.036682,2e-06,0.000638,0.000638,0.0,0.0,0.000782,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.006326545454545455,0.000212,0.000426,0.031182,0.036372,2e-06,0.00033,0.00033,0.0,0.0,0.000448,0.00029
Monroe's Approval Rule (Monroe),0.005828363636363636,0.00031,0.00019,0.028338,0.033426,6e-06,0.000478,0.000478,0.0,0.0,0.000646,0.00024
Greedy Monroe,0.005701454545454545,7.6e-05,0.000284,0.02835,0.033316,2e-06,0.000156,0.000156,0.0,0.0,0.000232,0.000144
Minimax Approval Voting (MAV),0.010534363636363637,0.000636,0.003316,0.038206,0.044992,0.002556,0.000944,0.000944,0.0,0.0,0.018844,0.00544
