,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.014939272727272728,0.000124,0.014844,0.04647,0.046694,0.003256,0.000286,0.000286,0.0,0.0,0.028148,0.024224
Borda ranking,2.6181818181818183e-05,0.0,0.0,0.000144,0.000144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.0013785454545454546,0.0,0.0,0.007528,0.007566,0.0,0.0,0.0,0.0,0.0,2.8e-05,4.2e-05
Approval Voting (AV),9.109090909090909e-05,0.0,0.0,0.000496,0.000496,0.0,0.0,0.0,0.0,0.0,1e-05,0.0
Proportional Approval Voting (PAV),0.00023272727272727271,0.0,0.0,0.001252,0.001302,0.0,2e-06,2e-06,0.0,0.0,2e-06,0.0
Approval Chamberlin-Courant (CC),0.009133636363636365,8.4e-05,0.0,0.049718,0.049984,0.0,0.000216,0.000216,0.0,0.0,0.000216,3.6e-05
Lexicographic Chamberlin-Courant (lex-CC),0.009122545454545454,8.2e-05,0.0,0.049682,0.049948,0.0,0.000212,0.000212,0.0,0.0,0.000212,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.008992,1.4e-05,0.0,0.048768,0.04902,0.0,3.6e-05,3.6e-05,0.0,0.0,3.6e-05,0.001002
Monroe's Approval Rule (Monroe),0.0035885454545454545,3.2e-05,0.0,0.019468,0.019732,0.0,7.4e-05,7.4e-05,0.0,0.0,7.8e-05,1.6e-05
Greedy Monroe,0.002916909090909091,0.0,0.0,0.016006,0.016062,0.0,4e-06,4e-06,0.0,0.0,1e-05,0.0
Minimax Approval Voting (MAV),0.01439109090909091,0.00011,0.01378,0.046596,0.046836,0.003092,0.000256,0.000256,0.0,0.0,0.025804,0.021572
