,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,5.454545454545454e-07,0.0,0.0,0.0,6e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.014311272727272728,0.000508,0.000262,0.034926,0.044156,0.002662,0.001082,0.001082,0.0,0.0,0.032756,0.03999
Borda ranking,0.00040327272727272727,0.0,0.0,0.001772,0.002664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.001699090909090909,0.0,0.0,0.008232,0.010458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.001343090909090909,2e-06,0.0,0.006404,0.008326,0.0,1.4e-05,1.4e-05,0.0,0.0,1.4e-05,0.0
Proportional Approval Voting (PAV),0.001343090909090909,2e-06,0.0,0.006404,0.008326,0.0,1.4e-05,1.4e-05,0.0,0.0,1.4e-05,0.0
Approval Chamberlin-Courant (CC),0.005173272727272727,0.000276,0.0,0.025142,0.029784,0.0,0.000568,0.000568,0.0,0.0,0.000568,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.001343090909090909,2e-06,0.0,0.006404,0.008326,0.0,1.4e-05,1.4e-05,0.0,0.0,1.4e-05,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.0038632727272727273,5e-05,0.0,0.019614,0.022442,0.0,0.00013,0.00013,0.0,0.0,0.00013,0.0
Monroe's Approval Rule (Monroe),0.005075636363636364,0.000262,0.0,0.024648,0.02929,0.0,0.000544,0.000544,0.0,0.0,0.000544,0.0
Greedy Monroe,0.002796181818181818,2.4e-05,0.0,0.013954,0.016582,0.0,6.6e-05,6.6e-05,0.0,0.0,6.6e-05,0.0
Minimax Approval Voting (MAV),0.005173272727272727,0.000276,0.0,0.025142,0.029784,0.0,0.000568,0.000568,0.0,0.0,0.000568,0.0
