,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.0011301818181818182,0.0,0.0,0.0,0.000866,0.000136,0.004004,0.001862,0.0,0.0,0.00556,0.0
Random Choice,0.007392181818181818,0.0,0.0,0.013618,0.031048,0.001088,0.012072,0.006864,0.0,0.0,0.016624,0.0
Borda ranking,0.0008894545454545455,0.0,0.0,0.001382,0.006084,0.0,0.000926,0.000222,0.0,0.0,0.00117,0.0
Plurality ranking,0.002920909090909091,0.0,0.0,0.009376,0.02272,1.8e-05,0.0,0.0,0.0,0.0,1.6e-05,0.0
Approval Voting (AV),0.0032492727272727274,0.0,0.0,0.005422,0.015052,6e-06,0.005576,0.002578,0.0,0.0,0.007108,0.0
Proportional Approval Voting (PAV),0.0032872727272727277,0.0,0.0,0.005588,0.01538,0.0,0.00562,0.002616,0.0,0.0,0.006956,0.0
Approval Chamberlin-Courant (CC),0.007318545454545455,0.0,0.0,0.013596,0.030864,0.00094,0.011876,0.006662,0.0,0.0,0.016566,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.003919636363636364,0.0,0.0,0.007568,0.01898,0.0,0.006216,0.003006,0.0,0.0,0.007346,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.006491818181818182,0.0,0.0,0.01294,0.029414,0.00017,0.009938,0.005398,0.0,0.0,0.01355,0.0
Monroe's Approval Rule (Monroe),0.007318545454545455,0.0,0.0,0.013596,0.030864,0.00094,0.011876,0.006662,0.0,0.0,0.016566,0.0
Greedy Monroe,0.005124727272727273,0.0,0.0,0.01037,0.024256,3.2e-05,0.00764,0.003944,0.0,0.0,0.01013,0.0
Minimax Approval Voting (MAV),0.007318545454545455,0.0,0.0,0.013596,0.030864,0.00094,0.011876,0.006662,0.0,0.0,0.016566,0.0
