Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.1758241758241758,0.07142857142857142,0.42857142857142855,0.0,0.42857142857142855,0.0,0.21428571428571427,0.0,0.35714285714285715,0.07142857142857142,0.21428571428571427,0.35714285714285715,0.14285714285714285,0.0
NN-1,0.23626373626373628,0.07142857142857142,0.5714285714285714,0.0,0.5714285714285714,0.0,0.35714285714285715,0.0,0.42857142857142855,0.07142857142857142,0.35714285714285715,0.42857142857142855,0.21428571428571427,0.0
NN-2,0.1538461538461538,0.07142857142857142,0.5,0.0,0.35714285714285715,0.0,0.21428571428571427,0.0,0.21428571428571427,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.0
NN-3,0.2527472527472528,0.21428571428571427,0.6428571428571429,0.0,0.7142857142857143,0.0,0.2857142857142857,0.0,0.5,0.07142857142857142,0.2857142857142857,0.5,0.07142857142857142,0.0
NN-4,0.2087912087912088,0.14285714285714285,0.6428571428571429,0.0,0.42857142857142855,0.0,0.21428571428571427,0.0,0.35714285714285715,0.14285714285714285,0.21428571428571427,0.35714285714285715,0.21428571428571427,0.0
NN-5,0.22527472527472522,0.07142857142857142,0.7857142857142857,0.0,0.5714285714285714,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.0
NN-6,0.3076923076923077,0.14285714285714285,0.7857142857142857,0.0,0.9285714285714286,0.0,0.35714285714285715,0.0,0.5714285714285714,0.0,0.35714285714285715,0.5714285714285714,0.2857142857142857,0.0
NN-7,0.2527472527472528,0.14285714285714285,0.7142857142857143,0.0,0.5,0.0,0.35714285714285715,0.0,0.35714285714285715,0.07142857142857142,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.0
NN-8,0.29670329670329676,0.14285714285714285,0.7857142857142857,0.0,0.8571428571428571,0.0,0.35714285714285715,0.0,0.5714285714285714,0.0,0.35714285714285715,0.5714285714285714,0.21428571428571427,0.0
NN-9,0.29670329670329676,0.14285714285714285,0.7857142857142857,0.0,0.8571428571428571,0.0,0.35714285714285715,0.0,0.5714285714285714,0.0,0.35714285714285715,0.5714285714285714,0.21428571428571427,0.0
NN-10,0.26373626373626374,0.21428571428571427,0.7142857142857143,0.0,0.7142857142857143,0.0,0.21428571428571427,0.0,0.5714285714285714,0.07142857142857142,0.21428571428571427,0.5714285714285714,0.14285714285714285,0.0
NN-11,0.18131868131868129,0.07142857142857142,0.6428571428571429,0.0,0.42857142857142855,0.0,0.21428571428571427,0.0,0.2857142857142857,0.07142857142857142,0.21428571428571427,0.2857142857142857,0.14285714285714285,0.0
NN-12,0.29670329670329676,0.14285714285714285,0.7857142857142857,0.0,0.8571428571428571,0.0,0.35714285714285715,0.0,0.5714285714285714,0.0,0.35714285714285715,0.5714285714285714,0.21428571428571427,0.0
NN-13,0.29670329670329676,0.14285714285714285,0.7857142857142857,0.0,0.8571428571428571,0.0,0.35714285714285715,0.0,0.5714285714285714,0.0,0.35714285714285715,0.5714285714285714,0.21428571428571427,0.0
NN-14,0.1648351648351648,0.0,0.6428571428571429,0.0,0.5,0.0,0.14285714285714285,0.0,0.21428571428571427,0.0,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.0
NN-15,0.2527472527472528,0.14285714285714285,0.7142857142857143,0.0,0.5,0.0,0.35714285714285715,0.0,0.35714285714285715,0.07142857142857142,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.0
NN-16,0.2087912087912088,0.14285714285714285,0.6428571428571429,0.0,0.42857142857142855,0.0,0.21428571428571427,0.0,0.35714285714285715,0.14285714285714285,0.21428571428571427,0.35714285714285715,0.21428571428571427,0.0
NN-17,0.2087912087912088,0.14285714285714285,0.6428571428571429,0.0,0.42857142857142855,0.0,0.21428571428571427,0.0,0.35714285714285715,0.14285714285714285,0.21428571428571427,0.35714285714285715,0.21428571428571427,0.0
NN-18,0.1978021978021978,0.07142857142857142,0.6428571428571429,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.21428571428571427,0.0,0.2857142857142857,0.21428571428571427,0.42857142857142855,0.0
