Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.1153846153846154,0.2222222222222222,0.3888888888888889,0.0,0.2777777777777778,0.0,0.05555555555555555,0.0,0.2222222222222222,0.0,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.0
NN-1,0.10683760683760685,0.16666666666666666,0.3333333333333333,0.0,0.2777777777777778,0.0,0.05555555555555555,0.0,0.2222222222222222,0.0,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.0
NN-2,0.10683760683760685,0.16666666666666666,0.3333333333333333,0.0,0.2777777777777778,0.0,0.05555555555555555,0.0,0.2222222222222222,0.0,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.0
NN-3,0.10683760683760685,0.16666666666666666,0.3333333333333333,0.0,0.2777777777777778,0.0,0.05555555555555555,0.0,0.2222222222222222,0.0,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.0
NN-4,0.10683760683760685,0.16666666666666666,0.3333333333333333,0.0,0.2777777777777778,0.0,0.05555555555555555,0.0,0.2222222222222222,0.0,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.0
NN-5,0.10683760683760685,0.16666666666666666,0.3888888888888889,0.0,0.2222222222222222,0.0,0.05555555555555555,0.0,0.2222222222222222,0.0,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.0
NN-6,0.0811965811965812,0.1111111111111111,0.2777777777777778,0.0,0.2222222222222222,0.0,0.05555555555555555,0.0,0.16666666666666666,0.0,0.05555555555555555,0.16666666666666666,0.0,0.0
NN-7,0.1153846153846154,0.2222222222222222,0.3888888888888889,0.0,0.2777777777777778,0.0,0.05555555555555555,0.0,0.2222222222222222,0.0,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.0
NN-8,0.1153846153846154,0.2222222222222222,0.3888888888888889,0.0,0.2777777777777778,0.0,0.05555555555555555,0.0,0.2222222222222222,0.0,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.0
NN-9,0.10683760683760683,0.1111111111111111,0.3888888888888889,0.0,0.2222222222222222,0.0,0.05555555555555555,0.0,0.2222222222222222,0.0,0.05555555555555555,0.2222222222222222,0.1111111111111111,0.0
NN-10,0.0811965811965812,0.1111111111111111,0.2777777777777778,0.0,0.2222222222222222,0.0,0.05555555555555555,0.0,0.16666666666666666,0.0,0.05555555555555555,0.16666666666666666,0.0,0.0
NN-11,0.10683760683760685,0.16666666666666666,0.3333333333333333,0.0,0.2777777777777778,0.0,0.05555555555555555,0.0,0.2222222222222222,0.0,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.0
NN-12,0.0811965811965812,0.1111111111111111,0.2777777777777778,0.0,0.2222222222222222,0.0,0.05555555555555555,0.0,0.16666666666666666,0.0,0.05555555555555555,0.16666666666666666,0.0,0.0
NN-13,0.10683760683760685,0.16666666666666666,0.3333333333333333,0.0,0.2777777777777778,0.0,0.05555555555555555,0.0,0.2222222222222222,0.0,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.0
NN-14,0.10683760683760685,0.16666666666666666,0.3333333333333333,0.0,0.2777777777777778,0.0,0.05555555555555555,0.0,0.2222222222222222,0.0,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.0
NN-15,0.10683760683760685,0.16666666666666666,0.3888888888888889,0.0,0.2222222222222222,0.0,0.05555555555555555,0.0,0.2222222222222222,0.0,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.0
NN-16,0.10683760683760685,0.16666666666666666,0.3333333333333333,0.0,0.2777777777777778,0.0,0.05555555555555555,0.0,0.2222222222222222,0.0,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.0
