Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.12393162393162395,0.0,0.5,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.16666666666666666,0.0
NN-1,0.12393162393162395,0.0,0.5,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.16666666666666666,0.0
NN-2,0.12393162393162395,0.0,0.5,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.16666666666666666,0.0
NN-3,0.12393162393162395,0.0,0.5,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.16666666666666666,0.0
NN-4,0.12393162393162395,0.0,0.5,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.16666666666666666,0.0
NN-5,0.12393162393162395,0.0,0.5,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.16666666666666666,0.0
NN-6,0.12393162393162395,0.0,0.5,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.16666666666666666,0.0
NN-7,0.12820512820512822,0.0,0.5555555555555556,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.16666666666666666,0.0
NN-8,0.12393162393162395,0.0,0.5,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.16666666666666666,0.0
NN-9,0.12393162393162395,0.0,0.5,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.16666666666666666,0.0
NN-10,0.06837606837606838,0.0,0.5,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.1111111111111111,0.0
NN-11,0.09829059829059832,0.0,0.5,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0
NN-12,0.09829059829059832,0.0,0.5,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0
NN-13,0.09829059829059832,0.0,0.5,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0
NN-14,0.12393162393162395,0.0,0.5,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.16666666666666666,0.0
NN-15,0.12393162393162395,0.0,0.5,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.16666666666666666,0.0
NN-16,0.12393162393162395,0.0,0.5,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.16666666666666666,0.0
NN-17,0.09829059829059832,0.0,0.5,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0
NN-18,0.12393162393162395,0.0,0.5,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.16666666666666666,0.0
