Method,Mean,Maj W,Maj L,Pareto,Mean,Cond W,Cond L,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN,0.11730769230769227,0.05166666666666665,0.033333333333333305,0.10055555555555554,0.11730769230769227,0.4761111111111112,0.055555555555555525,0.06666666666666662,0.0,0.24166666666666664,0.01888888888888889,0.02999999999999999,0.02999999999999999,0.18,0.24055555555555555
Borda,0.023076923076923016,0.0111111111111111,0.0,0.0333333333333333,0.023076923076923016,0.04444444444444442,0.0,0.0111111111111111,0.0,0.08888888888888886,0.0,0.0,0.0,0.05555555555555551,0.05555555555555551
EPH,0.05042735042735038,0.0,0.0,0.0,0.05042735042735038,0.22222222222222224,0.0,0.0,0.0,0.17777777777777773,0.0,0.0,0.0,0.1222222222222222,0.13333333333333333
SNTV,0.029914529914529857,0.0,0.0111111111111111,0.04444444444444442,0.029914529914529857,0.31111111111111106,0.0,0.0222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STV,0.018803418803418744,0.0,0.0,0.05555555555555551,0.018803418803418744,0.18888888888888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloc,0.04957264957264954,0.0,0.0,0.0,0.04957264957264954,0.2,0.0,0.0,0.0,0.17777777777777773,0.0,0.0,0.0,0.1222222222222222,0.14444444444444443
CC,0.15897435897435894,0.05555555555555554,0.1222222222222222,0.16666666666666666,0.15897435897435894,0.5111111111111112,0.05555555555555554,0.09999999999999998,0.0111111111111111,0.4,0.0,0.0222222222222222,0.0333333333333333,0.2555555555555556,0.3333333333333333
lex-CC,0.07179487179487176,0.0,0.0,0.0,0.07179487179487176,0.3555555555555555,0.0,0.0222222222222222,0.0,0.2333333333333333,0.0,0.0,0.0,0.15555555555555553,0.16666666666666666
seq-CC,0.1025641025641025,0.0333333333333333,0.0222222222222222,0.06666666666666662,0.1025641025641025,0.4222222222222222,0.03333333333333332,0.05555555555555551,0.0,0.26666666666666666,0.0,0.0111111111111111,0.0111111111111111,0.19999999999999998,0.21111111111111108
Monroe,0.11709401709401708,0.03333333333333332,0.04444444444444442,0.09999999999999995,0.11709401709401708,0.4666666666666667,0.03333333333333332,0.06666666666666664,0.0,0.33333333333333337,0.0,0.0,0.0,0.18888888888888888,0.25555555555555554
Greedy M.,0.06410256410256404,0.0111111111111111,0.0,0.0,0.06410256410256404,0.33333333333333337,0.0111111111111111,0.0222222222222222,0.0,0.17777777777777776,0.0,0.0,0.0,0.1333333333333333,0.1444444444444444
PAV,0.056410256410256376,0.0,0.0,0.0,0.056410256410256376,0.25555555555555554,0.0,0.0,0.0,0.18888888888888883,0.0,0.0,0.0,0.14444444444444443,0.14444444444444443
MES,0.055555555555555504,0.0,0.0,0.0,0.055555555555555504,0.25555555555555554,0.0,0.0,0.0,0.17777777777777776,0.0,0.0,0.0,0.14444444444444443,0.14444444444444443
MAV,0.18034188034188034,0.07777777777777772,0.1555555555555555,0.24444444444444446,0.18034188034188034,0.5888888888888888,0.08888888888888886,0.11111111111111108,0.0,0.37777777777777777,0.02222222222222222,0.03333333333333332,0.03333333333333332,0.22222222222222218,0.3888888888888889
RSD,0.11025641025641023,0.07777777777777777,0.0111111111111111,0.0,0.11025641025641023,0.5222222222222224,0.0222222222222222,0.07777777777777775,0.0,0.24444444444444446,0.0111111111111111,0.0222222222222222,0.0222222222222222,0.1555555555555555,0.26666666666666666
Random,0.19230769230769226,0.12222222222222216,0.1555555555555555,0.25555555555555554,0.19230769230769226,0.6222222222222222,0.09999999999999994,0.1333333333333333,0.0111111111111111,0.3666666666666667,0.0222222222222222,0.06666666666666661,0.06666666666666661,0.25555555555555554,0.3222222222222222
