,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.387037037037037,0.0,0.5740740740740741,0.5,0.12962962962962962,0.2222222222222222,0.18518518518518517,0.2222222222222222,0.2222222222222222,0.48148148148148145,0.2777777777777778,0.4444444444444444,0.3888888888888889,0.2962962962962963,0.3888888888888889,0.24074074074074073,0.2222222222222222,0.42592592592592593
Max Violations Committee,0.5046296296296298,0.5740740740740741,0.0,0.42592592592592593,0.5370370370370371,0.6296296296296297,0.5740740740740741,0.5555555555555556,0.5370370370370371,0.24074074074074073,0.5555555555555556,0.5925925925925926,0.3148148148148148,0.5555555555555556,0.35185185185185186,0.5370370370370371,0.5555555555555556,0.4444444444444444
Random Choice,0.4231481481481483,0.5,0.42592592592592593,0.0,0.48148148148148145,0.4444444444444444,0.5,0.4444444444444444,0.46296296296296297,0.4444444444444444,0.46296296296296297,0.46296296296296297,0.42592592592592593,0.42592592592592593,0.42592592592592593,0.42592592592592593,0.4444444444444444,0.5
Borda ranking,0.32962962962962955,0.12962962962962962,0.5370370370370371,0.48148148148148145,0.0,0.25925925925925924,0.2037037037037037,0.18518518518518517,0.18518518518518517,0.4444444444444444,0.25925925925925924,0.37037037037037035,0.35185185185185186,0.25925925925925924,0.35185185185185186,0.16666666666666666,0.18518518518518517,0.4444444444444444
Plurality ranking,0.28518518518518515,0.2222222222222222,0.6296296296296297,0.4444444444444444,0.25925925925925924,0.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.6111111111111112,0.37037037037037035,0.2777777777777778,0.5185185185185185,0.2777777777777778,0.5185185185185185,0.3333333333333333,0.3333333333333333,0.42592592592592593
STV,0.31203703703703706,0.18518518518518517,0.5740740740740741,0.5,0.2037037037037037,0.1111111111111111,0.0,0.3333333333333333,0.3333333333333333,0.5185185185185185,0.35185185185185186,0.35185185185185186,0.4444444444444444,0.2777777777777778,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.4444444444444444
Approval Voting (AV),0.3407407407407407,0.2222222222222222,0.5555555555555556,0.4444444444444444,0.18518518518518517,0.3333333333333333,0.3333333333333333,0.0,0.018518518518518517,0.42592592592592593,0.1111111111111111,0.4074074074074074,0.3333333333333333,0.24074074074074073,0.3333333333333333,0.05555555555555555,0.0,0.42592592592592593
Proportional Approval Voting (PAV),0.3592592592592593,0.2222222222222222,0.5370370370370371,0.46296296296296297,0.18518518518518517,0.3333333333333333,0.3333333333333333,0.018518518518518517,0.0,0.4074074074074074,0.09259259259259259,0.42592592592592593,0.3148148148148148,0.24074074074074073,0.3148148148148148,0.05555555555555555,0.018518518518518517,0.4074074074074074
Approval Chamberlin-Courant (CC),0.5157407407407407,0.48148148148148145,0.24074074074074073,0.4444444444444444,0.4444444444444444,0.6111111111111112,0.5185185185185185,0.42592592592592593,0.4074074074074074,0.0,0.42592592592592593,0.6666666666666666,0.09259259259259259,0.5555555555555556,0.12962962962962962,0.4444444444444444,0.42592592592592593,0.4444444444444444
Lexicographic Chamberlin-Courant (lex-CC),0.3592592592592593,0.2777777777777778,0.5555555555555556,0.46296296296296297,0.25925925925925924,0.37037037037037035,0.35185185185185186,0.1111111111111111,0.09259259259259259,0.42592592592592593,0.0,0.42592592592592593,0.3333333333333333,0.24074074074074073,0.2962962962962963,0.1111111111111111,0.1111111111111111,0.3888888888888889
Sequential Approval Chamberlin-Courant (seq-CC),0.212037037037037,0.4444444444444444,0.5925925925925926,0.46296296296296297,0.37037037037037035,0.2777777777777778,0.35185185185185186,0.4074074074074074,0.42592592592592593,0.6666666666666666,0.42592592592592593,0.0,0.6111111111111112,0.3148148148148148,0.6111111111111112,0.37037037037037035,0.4074074074074074,0.42592592592592593
Monroe's Approval Rule (Monroe),0.4787037037037037,0.3888888888888889,0.3148148148148148,0.42592592592592593,0.35185185185185186,0.5185185185185185,0.4444444444444444,0.3333333333333333,0.3148148148148148,0.09259259259259259,0.3333333333333333,0.6111111111111112,0.0,0.48148148148148145,0.1111111111111111,0.35185185185185186,0.3333333333333333,0.3888888888888889
