,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,3630,0,6,342,480,0,1022,890,0,0,890,0,0
Random Choice,8651,46,131,2133,2593,708,1094,969,0,0,969,8,0
Borda ranking,2936,0,14,246,354,0,854,734,0,0,734,0,0
Plurality ranking,5442,0,183,2290,2714,223,0,0,0,0,0,32,0
Approval Voting (AV),10009,87,0,1205,1543,498,2352,2162,0,0,2162,0,0
Proportional Approval Voting (PAV),10009,87,0,1205,1543,498,2352,2162,0,0,2162,0,0
Approval Chamberlin-Courant (CC),8497,50,138,2131,2584,698,1034,926,0,0,926,10,0
Lexicographic Chamberlin-Courant (lex-CC),10009,87,0,1205,1543,498,2352,2162,0,0,2162,0,0
Sequential Approval Chamberlin-Courant (seq-CC),9347,52,119,1958,2382,741,1453,1321,0,0,1321,0,0
Monroe's Approval Rule (Monroe),8497,50,138,2131,2584,698,1034,926,0,0,926,10,0
Greedy Monroe,10023,73,21,1383,1764,596,2178,2004,0,0,2004,0,0
Minimax Approval Voting (MAV),8497,50,138,2131,2584,698,1034,926,0,0,926,10,0
