,mean_violations,majority,majority_loser,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,unanimity,local_stability,count_viols
Neural Network,0,0,0,0,0,0,0,0,0,0,0
Random Choice,11554,1276,2587,2587,1276,1276,1276,0,0,1276,0
Borda ranking,11685,1299,2595,2595,1299,1299,1299,0,0,1299,0
Plurality ranking,11388,1236,2604,2604,1236,1236,1236,0,0,1236,0
Approval Voting (AV),0,0,0,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),0,0,0,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),11897,1319,2651,2651,1319,1319,1319,0,0,1319,0
Lexicographic Chamberlin-Courant (lex-CC),0,0,0,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),3892,0,1946,1946,0,0,0,0,0,0,0
Monroe's Approval Rule (Monroe),3796,428,828,828,428,428,428,0,0,428,0
Greedy Monroe,2066,0,1033,1033,0,0,0,0,0,0,0
Minimax Approval Voting (MAV),11897,1319,2651,2651,1319,1319,1319,0,0,1319,0
