,mean_violations,majority,majority_loser,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,unanimity,local_stability,count_viols
Neural Network,217,0,0,217,0,0,0,0,0,0,0
Random Choice,19770,2629,89,2461,611,4686,4647,0,0,4647,0
Borda ranking,19476,2629,97,2266,660,4638,4593,0,0,4593,0
Plurality ranking,19621,2680,95,2328,677,4637,4602,0,0,4602,0
Approval Voting (AV),729,0,3,726,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),729,0,3,726,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),19859,2626,88,2716,627,4638,4582,0,0,4582,0
Lexicographic Chamberlin-Courant (lex-CC),729,0,3,726,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),18599,2351,89,2328,0,4637,4597,0,0,4597,0
Monroe's Approval Rule (Monroe),10562,1291,7,1789,26,2505,2472,0,0,2472,0
Greedy Monroe,1368,0,13,1355,0,0,0,0,0,0,0
Minimax Approval Voting (MAV),1954,0,47,1907,0,0,0,0,0,0,0
