,total_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,count_viols
Neural Network,42,0,0,8,8,0,12,7,0,0,7,0
Random Choice,299,0,65,82,94,17,7,3,0,0,31,0
Borda ranking,32,0,0,5,5,0,10,6,0,0,6,0
Plurality ranking,193,0,28,74,83,1,0,0,0,0,7,0
STV,138,0,26,52,60,0,0,0,0,0,0,0
Approval Voting (AV),18,0,0,0,0,0,6,4,0,0,8,0
Proportional Approval Voting (PAV),37,0,0,7,7,0,11,6,0,0,6,0
Approval Chamberlin-Courant (CC),257,0,50,75,85,6,6,2,0,0,33,0
Lexicographic Chamberlin-Courant (lex-CC),42,0,0,8,8,0,12,7,0,0,7,0
Sequential Approval Chamberlin-Courant (seq-CC),243,0,50,69,78,0,6,4,0,0,36,0
Monroe's Approval Rule (Monroe),195,0,35,69,78,0,4,1,0,0,8,0
Greedy Monroe,75,0,13,17,23,0,10,6,0,0,6,0
Minimax Approval Voting (MAV),187,0,32,66,74,0,7,4,0,0,4,0
