,majority,majority_loser,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,count_viols
Neural Network,0,0,138,0,0,0,0,0,0
Random Choice,0,0,2945,562,0,0,0,0,0
Borda ranking,0,0,231,0,0,0,0,0,0
Plurality ranking,0,0,489,2,0,0,0,0,0
Approval Voting (AV),0,0,295,0,0,0,0,0,0
Proportional Approval Voting (PAV),0,0,348,2,0,0,0,0,0
Approval Chamberlin-Courant (CC),0,0,1533,3,0,0,0,0,0
Lexicographic Chamberlin-Courant (lex-CC),0,0,750,2,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),0,0,1368,3,0,0,0,0,0
Monroe's Approval Rule (Monroe),0,0,604,3,0,0,0,0,0
Greedy Monroe,0,0,533,3,0,0,0,0,0
Minimax Approval Voting (MAV),0,0,2320,288,0,0,0,0,0
