Method,2,3,4,5,6
Neural Network,68,204,203,176,154
Random Choice,333,639,458,415,323
Borda ranking,6,0,8,8,9
Plurality ranking,35,0,117,130,114
Approval Voting (AV),28,0,50,47,41
Proportional Approval Voting (PAV),28,0,50,38,41
Approval Chamberlin-Courant (CC),120,638,488,423,312
Lexicographic Chamberlin-Courant (lex-CC),28,0,50,68,41
Sequential Approval Chamberlin-Courant (seq-CC),89,644,490,418,320
Monroe's Approval Rule (Monroe),118,0,392,423,312
Greedy Monroe,50,0,80,105,92
Minimax Approval Voting (MAV),120,0,103,423,312
