Method,1,2,3,4,5
Neural Network,0.0,6.58181818181818e-05,0.0004474545454545,0.0010541818181818,0.0010641818181818
Random Choice,0.0053016363636363,0.0043921818181818,0.0049881818181818,0.007202909090909,0.0095836363636363
Borda ranking,0.0007134545454545,0.0006705454545454,0.000624,0.0008627272727272,0.0013281818181818
Plurality ranking,0.0026521818181818,0.002686,0.0026374545454545,0.00288,0.0031867272727272
Approval Voting (AV),0.0026532727272727,0.001904,0.0017141818181818,0.0032094545454545,0.0055718181818181
Proportional Approval Voting (PAV),0.0026532727272727,0.0020990909090909,0.0019338181818181,0.0032405454545454,0.0055718181818181
Approval Chamberlin-Courant (CC),0.0026532727272727,0.0025987272727272,0.0037407272727272,0.007256,0.0095805454545454
Lexicographic Chamberlin-Courant (lex-CC),0.0026532727272727,0.002444909090909,0.0031101818181818,0.0038301818181818,0.0055718181818181
Sequential Approval Chamberlin-Courant (seq-CC),0.0026521818181818,0.002546909090909,0.0033592727272727,0.00628,0.0091032727272727
Monroe's Approval Rule (Monroe),0.0026532727272727,0.0025974545454545,0.0037367272727272,0.007256,0.0095805454545454
Greedy Monroe,0.0026521818181818,0.0025458181818181,0.002966,0.005022,0.007380909090909
Minimax Approval Voting (MAV),0.0052825454545454,0.0043887272727272,0.0038565454545454,0.007256,0.0095805454545454
