Method,1,2,3,4,5
Neural Network,7.272727272727272e-06,5.9272727272727275e-05,0.0008776363636363,0.0016523636363636,0.0014150909090909
Random Choice,0.0081492727272727,0.011052,0.014964909090909,0.0167998181818181,0.0155414545454545
Borda ranking,0.0011427272727272,0.0013436363636363,0.0020365454545454,0.0023603636363636,0.0018450909090909
Plurality ranking,0.0044556363636363,0.0063181818181818,0.0078198181818181,0.0080436363636363,0.007536
Approval Voting (AV),0.0044518181818181,0.003098909090909,0.002568,0.003682,0.003542
Proportional Approval Voting (PAV),0.0044518181818181,0.0042136363636363,0.0037814545454545,0.0043641818181818,0.003542
Approval Chamberlin-Courant (CC),0.0044518181818181,0.0067605454545454,0.0141890909090909,0.016702,0.015646909090909
Lexicographic Chamberlin-Courant (lex-CC),0.0044518181818181,0.0065045454545454,0.007106909090909,0.0093196363636363,0.003542
Sequential Approval Chamberlin-Courant (seq-CC),0.0044567272727272,0.0064185454545454,0.0121147272727272,0.01531,0.0153210909090909
Monroe's Approval Rule (Monroe),0.0044518181818181,0.0057887272727272,0.010592909090909,0.0161016363636363,0.0156192727272727
Greedy Monroe,0.0044567272727272,0.0056890909090909,0.0064192727272727,0.0073285454545454,0.0062118181818181
Minimax Approval Voting (MAV),0.0081374545454545,0.0110154545454545,0.014044909090909,0.0127292727272727,0.015646909090909
