Method,1,2,3,4,5
Neural Network,7.272727272727272e-06,6.8e-05,0.000898,0.0017032727272727,0.0015554545454545
Random Choice,0.0081614545454545,0.0110294545454545,0.0148856363636363,0.0167336363636363,0.015396
Borda ranking,0.001148909090909,0.0014041818181818,0.0020841818181818,0.002466,0.001924909090909
Plurality ranking,0.0045403636363636,0.0064230909090909,0.0077998181818181,0.0081578181818181,0.007638909090909
Approval Voting (AV),0.0045536363636363,0.0032076363636363,0.0026056363636363,0.0038583636363636,0.0037598181818181
Proportional Approval Voting (PAV),0.0045536363636363,0.0042916363636363,0.0038392727272727,0.004554909090909,0.0037598181818181
Approval Chamberlin-Courant (CC),0.0045536363636363,0.006728909090909,0.0141856363636363,0.0167307272727272,0.0154727272727272
Lexicographic Chamberlin-Courant (lex-CC),0.0045536363636363,0.0064865454545454,0.0070965454545454,0.0092632727272727,0.0037598181818181
Sequential Approval Chamberlin-Courant (seq-CC),0.0045390909090909,0.0063967272727272,0.0120832727272727,0.0151783636363636,0.0153450909090909
Monroe's Approval Rule (Monroe),0.0045536363636363,0.0058263636363636,0.0107523636363636,0.0161903636363636,0.0154510909090909
Greedy Monroe,0.0045390909090909,0.0056967272727272,0.0064492727272727,0.0074032727272727,0.0062914545454545
Minimax Approval Voting (MAV),0.0081201818181818,0.0108923636363636,0.0140287272727272,0.0128545454545454,0.0154727272727272
