Method,1,2,3,4,5
Neural Network,0.0,0.0,3.090909090909091e-06,0.0,0.0
Random Choice,0.0090612727272727,0.0149392727272727,0.0206105454545454,0.0226830909090909,0.0198463636363636
Borda ranking,0.0007261818181818,2.6181818181818183e-05,0.0007334545454545,3.636363636363637e-07,0.0016947272727272
Plurality ranking,0.001550909090909,0.0013785454545454,0.0026541818181818,0.0006603636363636,0.0051110909090909
Approval Voting (AV),0.0015452727272727,9.109090909090908e-05,3.090909090909091e-06,1.8181818181818186e-07,0.0
Proportional Approval Voting (PAV),0.0015452727272727,0.0002327272727272,0.0001425454545454,3.636363636363637e-07,0.0
Approval Chamberlin-Courant (CC),0.0015452727272727,0.0091336363636363,0.0200998181818181,0.0227643636363636,0.0197781818181818
Lexicographic Chamberlin-Courant (lex-CC),0.0015452727272727,0.0091225454545454,0.002108909090909,3.636363636363637e-07,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.001550909090909,0.008992,0.016746,0.0221743636363636,0.0197345454545454
Monroe's Approval Rule (Monroe),0.0015452727272727,0.0035885454545454,0.0114612727272727,0.0163092727272727,0.0197781818181818
Greedy Monroe,0.001550909090909,0.002916909090909,0.002152,0.0001523636363636,0.0041252727272727
Minimax Approval Voting (MAV),0.0090570909090909,0.0143910909090909,0.020076,0.0123470909090909,0.0197781818181818
